window_name,window_min_time_min,window_max_time_min,metric_name,metric_label,condition_name,condition_label,n_samples,mean_of_sample_means,std_of_sample_means,sem_of_sample_means,median_of_sample_means,iqr_of_sample_means,min_of_sample_means,max_of_sample_means
post_5min,5.0,,center_of_mass_depth,Center-of-Mass Depth,pump_off,Pump off,3,0.25096897395690115,0.013510701385594095,0.007800407081913401,0.253779396460128,0.013289665005022183,0.23627409770026553,0.2628534277103099
post_5min,5.0,,center_of_mass_depth,Center-of-Mass Depth,pump_on,Pump on,3,0.2397978105163224,0.014454343992669823,0.008345219395127373,0.24676067852435993,0.013136472589147186,0.22317990392315643,0.24945284910145082
post_5min,5.0,,deep_tail_fraction,Deep-Tail Fraction,pump_off,Pump off,3,0.060609013466959995,0.01651614300751636,0.009535599611363925,0.06794086680981982,0.015246833270021284,0.041696253525508806,0.07218992006555137
post_5min,5.0,,deep_tail_fraction,Deep-Tail Fraction,pump_on,Pump on,3,0.05377504970273155,0.01646350617579544,0.009505209722400564,0.06020225567101524,0.015494040892594749,0.03506740582599495,0.06605548761118446
