condition_name,condition_label,actual_time_min,sample_count,center_of_mass_depth_mean,center_of_mass_depth_std,center_of_mass_depth_sem,deep_tail_fraction_mean,deep_tail_fraction_std,deep_tail_fraction_sem
pump_off,Pump off,0.0,3,0.17684508694896384,0.03485451253201052,0.02012326219282946,0.05043857627645765,0.025977174523518637,0.014997928703939374
pump_off,Pump off,0.16666666666666607,3,0.17892019578607754,0.036087535162883884,0.020835148140681096,0.04751426635997435,0.027197496466225133,0.01570248190605898
pump_off,Pump off,0.33333333333333215,3,0.1798426580501582,0.03891979837998451,0.02247035607149002,0.04845956086366185,0.026663847906880495,0.015394379766668694
pump_off,Pump off,0.4999999999999982,3,0.18205951303244197,0.03841429459404661,0.0221785033246024,0.050658596603702144,0.034559394599598184,0.01995287577510851
pump_off,Pump off,0.6666666666666643,3,0.18478204143782348,0.03869731188303465,0.02234190343258496,0.05075464545936429,0.035799879099633836,0.020669069835129655
pump_off,Pump off,0.8333333333333304,3,0.1819812615513,0.03534213134928795,0.02040478904824651,0.0498575001837647,0.02927476948434684,0.01690179604225189
pump_off,Pump off,0.9999999999999964,3,0.18309434185637055,0.026720487185559937,0.015427080469460976,0.04150770815533853,0.015423444313710462,0.008904729726351939
pump_off,Pump off,1.1666666666666625,3,0.17764040914271093,0.030422182151145834,0.017564255054299878,0.03632893815219603,0.022114037369273688,0.012767545428019608
pump_off,Pump off,1.3333333333333286,3,0.18320950975020756,0.0313058580985752,0.01807444560042462,0.04134777737791348,0.0238270564242399,0.013756557440531308
pump_off,Pump off,1.4999999999999947,3,0.1790842404917111,0.03264176797347957,0.018845733526313736,0.037404107931659616,0.02238507741317984,0.012924030470329993
pump_off,Pump off,1.6666666666666607,3,0.18415489232611482,0.032103343447775254,0.018534873981460052,0.0415139688863913,0.0245863259893133,0.014194921928313927
pump_off,Pump off,1.8333333333333268,3,0.17594353067162594,0.024152604733165092,0.013944512844323496,0.03651408790326347,0.021084780435938106,0.012173303660493021
pump_off,Pump off,1.999999999999993,3,0.1880451418568315,0.028370186819828266,0.016379534997387823,0.043420768625364786,0.02592441283576726,0.014967466729313216
pump_off,Pump off,2.166666666666659,3,0.18526468119698203,0.026743428760848346,0.015440325794129373,0.04018620431986308,0.023127762004227264,0.01335281961889421
pump_off,Pump off,2.333333333333325,3,0.182558929881805,0.025445103672157098,0.014690737454677836,0.03702038111014632,0.02041419758113753,0.01178614246875996
pump_off,Pump off,2.499999999999991,3,0.18340448844647952,0.025939317931876284,0.014976072190564061,0.03628369946137777,0.020926759665154074,0.012082070325943307
pump_off,Pump off,2.666666666666657,3,0.18420657875721105,0.026437663506912307,0.015263792142460568,0.03558002375291398,0.021515554839106405,0.012422011378122239
pump_off,Pump off,2.8333333333333233,3,0.18986930398585586,0.024877138165081355,0.014362822416277234,0.03975176754115309,0.023485348940987433,0.013559272533091388
