time,GAD_mean_conc,GAD_mean_conc_hu_noise_std,GAD_mean_conc_roi_sensitivity_std,GAD_mean_conc_calibration_std,GAD_mean_conc_fixed_roi_std,GAD_mean_conc_fixed_roi_ci_low,GAD_mean_conc_fixed_roi_ci_high,GAD_mean_conc_combined_std,GAD_mean_conc_combined_ci_low,GAD_mean_conc_combined_ci_high,GAD_effective_diffusivity,GAD_effective_diffusivity_std,GAD_effective_diffusivity_hu_noise_std,GAD_effective_diffusivity_roi_sensitivity_std,GAD_effective_diffusivity_calibration_std,GAD_effective_diffusivity_fixed_roi_std,GAD_effective_diffusivity_fixed_roi_ci_low,GAD_effective_diffusivity_fixed_roi_ci_high,GAD_effective_diffusivity_combined_std,GAD_effective_diffusivity_combined_ci_low,GAD_effective_diffusivity_combined_ci_high,GAD_effective_diffusivity_ci_low,GAD_effective_diffusivity_ci_high,GAD_fitted_Cs,GAD_fitted_Cs_std,GAD_fitted_Cs_hu_noise_std,GAD_fitted_Cs_roi_sensitivity_std,GAD_fitted_Cs_calibration_std,GAD_fitted_Cs_fixed_roi_std,GAD_fitted_Cs_fixed_roi_ci_low,GAD_fitted_Cs_fixed_roi_ci_high,GAD_fitted_Cs_combined_std,GAD_fitted_Cs_combined_ci_low,GAD_fitted_Cs_combined_ci_high,GAD_fitted_Cs_ci_low,GAD_fitted_Cs_ci_high,GAD_fitted_velocity,GAD_fitted_velocity_std,GAD_fitted_velocity_hu_noise_std,GAD_fitted_velocity_roi_sensitivity_std,GAD_fitted_velocity_calibration_std,GAD_fitted_velocity_fixed_roi_std,GAD_fitted_velocity_fixed_roi_ci_low,GAD_fitted_velocity_fixed_roi_ci_high,GAD_fitted_velocity_combined_std,GAD_fitted_velocity_combined_ci_low,GAD_fitted_velocity_combined_ci_high,GAD_fitted_velocity_ci_low,GAD_fitted_velocity_ci_high,GAD_diffusion_curve,GAD_convection_curve,GAD_total_curve,GAD_mean_diffusive_flux_magnitude,GAD_peclet_number,GAD_peclet_characteristic_length_mm,GAD_mean_convection_fraction
3.65,8.533173164743701,0.22327931486413385,2.106259935469623,0.020815663598104325,0.22424750678040206,8.093648051454114,8.972698278033288,2.118163794436523,4.381572127648116,12.684774201839286,0.0011847919525995714,8.353523746075885e-05,4.614436588230469e-05,0.00022376942216370107,3.5806711796200997e-06,9.550005029528484e-05,0.000997611854020813,0.0013719720511783298,0.00024329614444515681,0.000707931509487064,0.0016616523957120788,0.0010210658957364829,0.00134851800946266,35.70851560640729,0.8706794273235078,0.5508590784708799,7.0724315023347595,0.03023416240573593,1.030748511555828,33.68824852375786,37.728782689056715,7.1471483718537465,21.700104797573946,49.716926415240636,34.00201528677326,37.41501592604132,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.016613317126306648,,0.016613317126306648,0.015281372854205028,0.0,1.1620000000000001,
3.9833333333333334,8.926860617818656,0.14908849150429865,2.0915716681315106,0.021479874977167118,0.1506278969117675,8.631629939871592,9.22209129576572,2.0969885088522764,4.816763140468194,13.036958095169119,0.001171647432487731,9.057846483753858e-05,6.783702871274794e-05,0.0002075092144339105,3.620638436289151e-06,0.00011322292073421236,0.0009497305078486748,0.0013935643571267873,0.00023638845964759868,0.0007083260515784376,0.0016349688133970243,0.0009941169036312278,0.0013491779613442343,35.87742539068315,0.9631486616511294,0.5631934697036873,6.9291823809782995,0.030145729582001367,1.116132157842104,33.68980636131263,38.065044420053674,7.0184983766208395,22.121168572506306,49.633682208859994,33.98968870208898,37.76516207927732,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.016163869351598643,,0.016163869351598643,0.015074112753559894,0.0,1.1620000000000001,
4.316666666666666,9.1414273707771,0.17741588141915482,2.0981317394594363,0.021536823695782158,0.17871829720159826,8.791139508261967,9.491715233292233,2.1057295709282613,5.014197411757708,13.268657329796492,0.0011268524618556009,8.485063323653148e-05,6.0517204564268394e-05,0.0002141197382512734,3.4306508115790745e-06,0.00010427718529910977,0.0009224691786693457,0.001331235745041856,0.0002381616965061735,0.0006600555367035008,0.001593649387007701,0.0009605482766465819,0.00129315664706462,36.24682589797314,0.9498296901726808,0.4664829336512567,6.593306074491701,0.03043921708465712,1.058635590587309,34.17190014042201,38.32175165552427,6.677753687100723,23.15842867125572,49.33522312469056,34.385193913787845,38.10845788215843,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.014784401780938261,,0.014784401780938261,0.01443564488148318,0.0,1.1620000000000001,
4.65,9.028544283299535,0.1975182892762117,2.1728862318497777,0.02150673166608819,0.19868571691381937,8.639120278148448,9.417968288450622,2.181951097221907,4.751920132744597,13.305168433854472,0.001001099740702347,6.261601589108723e-05,4.004927828898178e-05,0.00019866207783039225,2.907106749699966e-06,7.438522304325871e-05,0.0008553047035375599,0.001146894777867134,0.000212131521879904,0.0005853219578177351,0.001416877523586959,0.0008783746047004283,0.0011238248767042657,37.06319268305252,0.8048881987512388,0.359553575173821,6.804194622244624,0.031246888537449544,0.8820998548648346,35.33427696751745,38.792108398587594,6.861134353103371,23.615369350969914,50.51101601513513,35.48564080191878,38.640744564186264,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0136479494569841,,0.0136479494569841,0.013291566128633416,0.0,1.1620000000000001,
4.983333333333333,9.39741431089279,0.1525237581796524,2.129317423014783,0.021606302531109307,0.15404651608624878,9.095483139363743,9.699345482421837,2.134882436358646,5.213044735629844,13.581783886155737,0.001019094002336596,8.372083370453362e-05,5.291660269885487e-05,0.0001782832324242472,3.2004413338846825e-06,9.909383261385275e-05,0.0008248700904134446,0.0012133179142597476,0.00020397180840925152,0.0006193092578544631,0.001418878746818729,0.0008550041835200432,0.0011831838211531491,36.46160764570944,1.0447370566624905,0.6105568196884493,6.676861113939705,0.030329154129215045,1.21044413552302,34.089137140084325,38.83407815133456,6.785694462622247,23.161646498969837,49.76156879244905,34.41396064133658,38.509254650082305,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.013257194665304962,,0.013257194665304962,0.013257094019796821,0.0,1.1620000000000001,
5.316666666666666,9.435812319490921,0.1966227246525309,2.1717450842503845,0.021616877406566967,0.19780744485128846,9.048109727582396,9.823514911399446,2.1807348523386114,5.1615720089072425,13.7100526300746,0.0009752352983818193,7.457466719792723e-05,5.7597596336539513e-05,0.00015717188322614912,3.046247746971886e-06,9.427695220341229e-05,0.0007904524720631313,0.0011600181247005074,0.00018327887110526064,0.0006160087110155085,0.0013344618857481301,0.0008290716365148214,0.0011213989602488173,36.72164105664493,0.9804230360192104,0.7345942084130845,6.837756076032496,0.030506943331915386,1.2254748688498793,34.31971031369916,39.12357179959069,6.946704024895687,23.10610116784938,50.33718094544047,34.80004721643386,38.643234896855994,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01294301982296444,,0.01294301982296444,0.012963830698212697,0.0,1.1620000000000001,
5.65,9.476165829157388,0.08519991652037451,2.1455884728380417,0.021628046971796884,0.08790220811158862,9.303877501258674,9.648454157056102,2.1473883423746094,5.267284678103153,13.685046980211624,0.0008791165370651054,6.338335085058825e-05,4.488553862817868e-05,0.00017513417722733263,2.553676115235094e-06,7.770895704287897e-05,0.0007268069812610626,0.0010314260928691481,0.00019160026627796414,0.0005035800151602957,0.001254653058969915,0.0007548874521784862,0.0010033456219517246,37.355694078993885,0.9383023432818806,0.493280416617869,6.532595029423352,0.031382648983118606,1.0605289847449544,35.27705726889378,39.43433088909399,6.61812054483226,24.384177811122655,50.327210346865115,35.51665527955186,39.19473287843591,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.011607814007499075,,0.011607814007499075,0.011533136734900286,0.0,1.1620000000000001,
5.983333333333333,9.607892419315046,0.16118022459303494,2.14761838200266,0.021664704792061857,0.16262971510024965,9.289138177718558,9.926646660911535,2.153767197017661,5.38650871316043,13.829276125469661,0.0009027278359848019,5.9160076717352797e-05,4.88196476881041e-05,0.00016114839224700165,2.665029872380869e-06,7.674877889461408e-05,0.0007523002293513582,0.0010531554426182455,0.0001784913986320009,0.0005528846946660801,0.0012525709773035236,0.0007867762162961638,0.00101867945567344,37.04426342654604,0.8493581845265903,0.38098876277347954,6.417658285980218,0.031060586634232015,0.9314110387063461,35.2186977906816,38.869829062410474,6.484895095422483,24.33386903951797,49.754657813574106,35.3795519748996,38.70897487819248,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.011696820416396149,,0.011696820416396149,0.011844827200704433,0.0,1.1620000000000001,
6.316666666666666,9.76166229147786,0.2335975481441966,2.103671397256223,0.021708077696765037,0.2346040390450877,9.301838374949488,10.221486208006231,2.116712640575054,5.612905515950754,13.910419067004966,0.000883713979187467,6.511586400642344e-05,3.56967895870264e-05,0.00015740121259386254,2.659280802586563e-06,7.430617946382705e-05,0.0007380738674383659,0.0010293540909365679,0.00017405904180055912,0.0005425582572583711,0.0012248697011165628,0.0007560892309126689,0.001011338727462265,36.73462951292363,0.948533053578206,0.651033705384842,6.229706636408392,0.03073956584408368,1.150871304788592,34.47892175553799,38.990337270309276,6.335120325289533,24.31779367535615,49.151465350491115,34.87553888976455,38.593720136082716,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.011098417691797348,,0.011098417691797348,0.011336039194693467,0.0,1.328,
6.65,10.137829716616299,0.1814868721126459,2.1316746510252305,0.021526285524869283,0.18275903730795387,9.77962200349271,10.496037429739888,2.1394947262242243,5.944420053216819,14.331239380015777,0.0009369216324314088,5.315859662811805e-05,4.297415914879043e-05,0.00015976038990381323,2.685886715407485e-06,6.840927376799534e-05,0.000802839455846138,0.0010710038090166797,0.00017379071010753986,0.0005962918406206307,0.001277551424242187,0.0008327326975716051,0.0010411105672912125,37.20981611477659,0.7437036845638085,0.620594101303108,5.918921251439947,0.03130545083969479,0.9691296302653601,35.31032203945648,39.10931019009669,5.997736324731665,25.454252918302522,48.96537931125065,35.75218367786179,38.667448551691386,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.011671100580279,,0.011671100580279,0.012321730652600536,0.0,1.328,
