time,VIS_320_mean_conc,VIS_320_mean_conc_hu_noise_std,VIS_320_mean_conc_roi_sensitivity_std,VIS_320_mean_conc_calibration_std,VIS_320_mean_conc_fixed_roi_std,VIS_320_mean_conc_fixed_roi_ci_low,VIS_320_mean_conc_fixed_roi_ci_high,VIS_320_mean_conc_combined_std,VIS_320_mean_conc_combined_ci_low,VIS_320_mean_conc_combined_ci_high,VIS_320_effective_diffusivity,VIS_320_effective_diffusivity_std,VIS_320_effective_diffusivity_hu_noise_std,VIS_320_effective_diffusivity_roi_sensitivity_std,VIS_320_effective_diffusivity_calibration_std,VIS_320_effective_diffusivity_fixed_roi_std,VIS_320_effective_diffusivity_fixed_roi_ci_low,VIS_320_effective_diffusivity_fixed_roi_ci_high,VIS_320_effective_diffusivity_combined_std,VIS_320_effective_diffusivity_combined_ci_low,VIS_320_effective_diffusivity_combined_ci_high,VIS_320_effective_diffusivity_ci_low,VIS_320_effective_diffusivity_ci_high,VIS_320_fitted_Cs,VIS_320_fitted_Cs_std,VIS_320_fitted_Cs_hu_noise_std,VIS_320_fitted_Cs_roi_sensitivity_std,VIS_320_fitted_Cs_calibration_std,VIS_320_fitted_Cs_fixed_roi_std,VIS_320_fitted_Cs_fixed_roi_ci_low,VIS_320_fitted_Cs_fixed_roi_ci_high,VIS_320_fitted_Cs_combined_std,VIS_320_fitted_Cs_combined_ci_low,VIS_320_fitted_Cs_combined_ci_high,VIS_320_fitted_Cs_ci_low,VIS_320_fitted_Cs_ci_high,VIS_320_fitted_velocity,VIS_320_fitted_velocity_std,VIS_320_fitted_velocity_hu_noise_std,VIS_320_fitted_velocity_roi_sensitivity_std,VIS_320_fitted_velocity_calibration_std,VIS_320_fitted_velocity_fixed_roi_std,VIS_320_fitted_velocity_fixed_roi_ci_low,VIS_320_fitted_velocity_fixed_roi_ci_high,VIS_320_fitted_velocity_combined_std,VIS_320_fitted_velocity_combined_ci_low,VIS_320_fitted_velocity_combined_ci_high,VIS_320_fitted_velocity_ci_low,VIS_320_fitted_velocity_ci_high,VIS_320_diffusion_curve,VIS_320_convection_curve,VIS_320_total_curve,VIS_320_mean_diffusive_flux_magnitude,VIS_320_peclet_number,VIS_320_peclet_characteristic_length_mm,VIS_320_mean_convection_fraction
0.0,6.246110764487336,0.07645507189661296,2.5549502632255567,0.011569184622789053,0.07732544245946761,6.09455289726678,6.397668631707893,2.5561201207313977,1.2361153278537973,11.256106201120875,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
0.16666666666666666,6.39280551765689,0.06629814418997987,2.5575815123456915,0.011419210804435916,0.06727438069898159,6.260947731486886,6.524663303826894,2.5584661488069185,1.37821186599533,11.407399169318449,0.010888447597743942,0.00018819007134610258,0.00020042738018659316,0.003871120056167697,2.168827232347253e-05,0.00027578437018455093,0.010347910232182221,0.011428984963305662,0.0038809312681496798,0.00328182231217057,0.018495072883317313,0.010519601835657557,0.011257293359830327,41.13277100243228,0.23201698020398592,0.36663780442865346,11.245601412139443,0.03262254085002068,0.43510847947466114,40.279958382661945,41.98558362220261,11.254015750372103,19.074900131702957,63.190641873161596,40.67802607743072,41.587515927433834,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.24430385865628176,,0.24430385865628176,0.16922276047216722,0.0,0.664,
0.3333333333333333,6.699668844063755,0.10167083391482279,2.5916762410788543,0.012270649669389191,0.10240862909073806,6.498947931045908,6.9003897570816015,2.593698761592191,1.6160192713430606,11.78331841678445,0.005779644141666312,0.00013349082611239016,0.00019144928586797548,0.0019653471559142426,1.1659736488499813e-05,0.0002336847859200668,0.005321621961262981,0.006237666322069643,0.0019791912546367795,0.0019004292825782242,0.009658859000754399,0.005518006930219528,0.006041281353113096,41.73954299004513,0.3161171326695126,0.37860496823631384,11.191053251416792,0.03284149673597043,0.49431804281077296,40.770679626136015,42.708406353954246,11.201965149182291,19.78369129764784,63.69539468244242,41.119964795116815,42.359121184973446,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.12901838219252298,,0.12901838219252298,0.09115686454322819,0.0,0.664,
0.5,6.716640993711297,0.06347446107575988,2.6200305502739236,0.011598019508796938,0.06452535366338251,6.590171300531067,6.843110686891527,2.6208249856932575,1.579824021752513,11.853457965670081,0.003818468568505814,5.848539799622747e-05,9.069630061317182e-05,0.0013524946501789576,7.244482754826833e-06,0.00010816119107183012,0.0036064726340050268,0.004030464503006601,0.0013568126702005615,0.0011591157349127132,0.006477821402098915,0.003703839294811717,0.0039330978421999105,42.523336702005864,0.21341712311749916,0.3316834183434988,11.160247418030947,0.03360258495189995,0.39584074090374766,41.74748884983452,43.29918455417721,11.167265212388648,20.635496885724116,64.41117651828762,42.105046827011414,42.941626577000314,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0849415058900949,,0.0849415058900949,0.06098547246473754,0.0,0.664,
0.6666666666666666,6.940487190402676,0.07631616021737901,2.6408674785872175,0.01135848244067613,0.07715679771530057,6.789259866880687,7.091714513924665,2.641994362388627,1.7621782401209671,12.118796140684385,0.0030229884540645268,5.230240338202381e-05,9.537482732586867e-05,0.0010317745667783327,5.7626673500040025e-06,0.00010892707387037441,0.0028094913892785928,0.0032364855188504607,0.0010375084886749496,0.0009894718162616256,0.005056505091867428,0.002920477627130874,0.0031254992809981795,42.88661845003902,0.24415569604006077,0.21414661687896203,11.039275805577777,0.033746399859655794,0.3265112508520943,42.24665639836892,43.52658050170913,11.044103399939168,21.240175786158254,64.53306111391979,42.4080820791802,43.36515482089785,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.06626094272074885,,0.06626094272074885,0.048623087868864885,0.0,0.664,
0.8333333333333334,7.016317512391618,0.05732023950109511,2.639476418367733,0.011993903702818231,0.058561622095834924,6.901536733083781,7.1310982916994545,2.6401259868994607,1.8416705780686753,12.19096444671456,0.0024816309642221807,4.241924756557959e-05,7.618058610068832e-05,0.0008224236549365714,4.795211645093431e-06,8.732621781226734e-05,0.002310471577310137,0.0026527903511342245,0.0008270468768556135,0.0008606190855851782,0.004102642842859184,0.0023984907667423563,0.002564771161702005,42.80186772567109,0.24121297132178932,0.36553602377998684,10.993919442256866,0.03361669605864225,0.43923839138748855,41.94096047855161,43.662774972790565,11.002690355876702,21.23659462815275,64.36714082318943,42.32909898927649,43.274636462065686,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05419961562928274,,0.05419961562928274,0.03987931468432752,0.0,0.664,
1.0,7.2176681280676505,0.1036373378207502,2.6608095732550767,0.013278000712283048,0.10448446340718646,7.012878579789565,7.4224576763457355,2.6628602269400754,1.9984620832651023,12.436874172870198,0.0021085099283746976,3.8496782541330616e-05,4.653912710892057e-05,0.0007168081441628677,3.9390771643022585e-06,6.0526101369583446e-05,0.001989878769690314,0.002227141087059081,0.0007193589677519949,0.0006985663515807876,0.003518453505168608,0.0020330576210730194,0.0021839622356763758,43.57782301644926,0.26270021297469687,0.3381803587069319,10.833357601084257,0.034209166849585006,0.4295900650720905,42.73582648890796,44.419819543990556,10.841871818877896,22.32775425144858,64.82789178144994,43.06294006028785,44.092705972610666,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.045300889274035666,,0.045300889274035666,0.03426173708868299,0.0,0.664,
1.1666666666666667,7.460750254664432,0.08827248045700496,2.6873735412285695,0.012667216710198973,0.0891767300657266,7.285963863735607,7.635536645593256,2.68885273662962,2.190598890870376,12.730901618458487,0.0019140855269003368,3.961529719172836e-05,5.5746482947173644e-05,0.0006212480918351545,3.6311751653534424e-06,6.848523611443537e-05,0.0017798544641160435,0.0020483165896846302,0.0006250115352331271,0.0006890629178434077,0.003139108135957266,0.0018364409711676985,0.0019917300826329753,43.925872373398,0.3014499946946659,0.5208119887879666,10.747718491095672,0.03429238274289554,0.6027380811603631,42.74450573432369,45.10723901247231,10.764606168286916,22.827244283555647,65.02450046324036,43.335041240656665,44.516703506139336,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.040609076888142664,,0.040609076888142664,0.03136845295241968,0.0,0.8300000000000001,
1.3333333333333333,7.44710721400348,0.06508129503815936,2.7082299205577822,0.012206486862027043,0.0662161104668402,7.317323637488473,7.576890790518487,2.7090392902078344,2.137390205196124,12.756824222810835,0.0016484365934813009,2.796878538301602e-05,3.29373641193785e-05,0.0005551590402692203,3.008011044673387e-06,4.3314790099671614e-05,0.0015635396048859446,0.0017333335820766572,0.0005568462364369723,0.0005570179700648352,0.0027398552168977665,0.0015936187814392592,0.0017032544055233425,44.51612834711078,0.2501527818729057,0.2882541732867505,10.745557998673375,0.0348322161235731,0.38324948268205244,43.764959361053954,45.267297333167605,10.752390286295853,23.441443385970906,65.59081330825066,44.02583790400738,45.00641879021418,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.034888328109962036,,0.034888328109962036,0.02725731100504454,0.0,0.8300000000000001,
1.5,7.546610077917806,0.08794424652535512,2.709283534909593,0.01245284306016044,0.08882152778011321,7.372519883468784,7.720700272366828,2.7107391125538833,2.2335614173121945,12.859658738523418,0.0015122581381217272,2.4206469796397143e-05,4.203175452246119e-05,0.0004953895842717338,2.747294567256931e-06,4.8581572593727384e-05,0.0014170382558380216,0.0016074780204054328,0.0004977660187282784,0.0005366367414143015,0.002487879534829153,0.0014648143291279322,0.0015597019471155222,44.510557180243154,0.23651473889078217,0.3001063500617217,10.661323526533382,0.03483621028916499,0.3836881606295071,43.75852838540932,45.26258597507699,10.668225529206882,23.600835142997663,65.42027921748864,44.04699681020433,44.97411755028198,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03182539315546958,,0.03182539315546958,0.025011770933692334,0.0,0.8300000000000001,
1.6666666666666667,7.660036536077336,0.08279015565932356,2.734043428291018,0.012305144244995864,0.08369962036344716,7.495985280164979,7.824087791989693,2.735324312440901,2.29880088369317,13.021272188461502,0.0013724310359286658,2.1801901295412012e-05,3.411944623664971e-05,0.0004574167405173441,2.4447457817325162e-06,4.0563977782360264e-05,0.0012929256394752396,0.001451936432382092,0.00045921183651887625,0.0004723758363516683,0.0022724862355056634,0.001329700094595161,0.0014151619772621706,45.16752044388197,0.23833204176401077,0.2647923989707445,10.60569044221604,0.03530369954805368,0.3579993406221069,44.46584173626264,45.8691991515013,10.611730927798657,24.3685278253966,65.96651306236734,44.70039822566261,45.63464266210133,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02871301048579393,,0.02871301048579393,0.02295243270031684,0.0,0.8300000000000001,
1.8333333333333333,7.7110352118580066,0.10161502435130254,2.727569171568048,0.012315976285433848,0.10235866570925578,7.5104122270678655,7.911658196648148,2.729489124751038,2.361236527345972,13.060833896370042,0.0012799679517743626,2.029812685022304e-05,3.141750270634814e-05,0.00041075690794792433,2.33240685089496e-06,3.747684020364097e-05,0.0012065133449752263,0.0013534225585734988,0.00041246302983247943,0.00047154041330270294,0.0020883954902460224,0.0012401843541943,0.001319751549354425,44.880926497257114,0.23684853394526462,0.21206100202588168,10.592459270563825,0.035013567292620916,0.31983284150755537,44.25405412790231,45.50779886661192,10.597286749213703,24.110244468798257,65.65160852571597,44.41671190093329,45.34514109358094,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.026707697858735575,,0.026707697858735575,0.021327732207766945,0.0,0.8300000000000001,
