condition_name,condition_label,actual_time_min,sample_count,center_of_mass_depth_mean,center_of_mass_depth_std,center_of_mass_depth_sem,deep_tail_fraction_mean,deep_tail_fraction_std,deep_tail_fraction_sem
pump_off,Pump off,0.0,1,0.19094812186141,,,0.04909218092140168,,
pump_off,Pump off,0.16666666666666652,1,0.2033645429874254,,,0.058607610194191605,,
pump_off,Pump off,0.33333333333333304,1,0.1912927935715995,,,0.05215388918619923,,
pump_off,Pump off,0.49999999999999956,1,0.20448850141476846,,,0.06001427532849525,,
pump_off,Pump off,0.6666666666666661,1,0.20358264177512142,,,0.06038790138989379,,
pump_off,Pump off,0.8333333333333326,1,0.1994767626154206,,,0.05662296680665485,,
pump_off,Pump off,0.9999999999999991,1,0.20165668333063638,,,0.04448350347351732,,
pump_off,Pump off,1.1666666666666656,1,0.19493586480091615,,,0.041992675275676454,,
pump_off,Pump off,1.3333333333333321,1,0.20282814585863507,,,0.053160918949328576,,
pump_off,Pump off,1.4999999999999987,1,0.21073679027627681,,,0.05757968459563325,,
pump_off,Pump off,1.6666666666666652,1,0.1984117192905784,,,0.04361517954021009,,
pump_off,Pump off,1.8333333333333317,1,0.19511790873080076,,,0.03861136494818959,,
pump_off,Pump off,1.9999999999999982,1,0.19833328978928105,,,0.04338979747721555,,
pump_off,Pump off,2.1666666666666647,1,0.19775179094416245,,,0.041778716922985,,
pump_off,Pump off,2.3333333333333313,1,0.19744904156702164,,,0.04043777197797581,,
pump_off,Pump off,2.499999999999998,1,0.19959392948917076,,,0.041405215152359086,,
pump_off,Pump off,2.6666666666666643,1,0.2016186949485153,,,0.04239480462308634,,
pump_off,Pump off,2.833333333333331,1,0.2028518940157176,,,0.04370409864589868,,
pump_off,Pump off,2.9999999999999973,1,0.2042533857790948,,,0.04504020947266236,,
pump_off,Pump off,3.166666666666664,1,0.2073874794544639,,,0.046866144262645855,,
pump_off,Pump off,3.3333333333333304,1,0.210003679452391,,,0.04829274123818935,,
pump_off,Pump off,3.499999999999997,1,0.2084967411658137,,,0.04643589434898005,,
pump_off,Pump off,3.6666666666666634,1,0.20760207717506413,,,0.04517224102357425,,
pump_off,Pump off,3.83333333333333,1,0.21220068624948724,,,0.049255163729751056,,
pump_off,Pump off,3.9999999999999964,1,0.2163471983588105,,,0.05288685897733067,,
pump_off,Pump off,4.1666666666666625,1,0.21767291739041497,,,0.0535729987788686,,
pump_off,Pump off,4.3333333333333295,1,0.21832191800455444,,,0.053565219625474315,,
pump_off,Pump off,4.4999999999999964,1,0.21311007399232423,,,0.04738313666160611,,
pump_off,Pump off,4.6666666666666625,1,0.20914399725124416,,,0.04255840707375778,,
