window_name,window_min_time_min,window_max_time_min,metric_name,metric_label,condition_name,condition_label,n_samples,mean_of_sample_means,std_of_sample_means,sem_of_sample_means,median_of_sample_means,iqr_of_sample_means,min_of_sample_means,max_of_sample_means
post_5min,5.0,,center_of_mass_depth,Center-of-Mass Depth,pump_off,Pump off,1,0.25709412682778876,,,0.25709412682778876,0.0,0.25709412682778876,0.25709412682778876
post_5min,5.0,,center_of_mass_depth,Center-of-Mass Depth,pump_on,Pump on,1,0.25059771570833794,,,0.25059771570833794,0.0,0.25059771570833794,0.25059771570833794
post_5min,5.0,,deep_tail_fraction,Deep-Tail Fraction,pump_off,Pump off,1,0.06829116805761336,,,0.06829116805761336,0.0,0.06829116805761336,0.06829116805761336
post_5min,5.0,,deep_tail_fraction,Deep-Tail Fraction,pump_on,Pump on,1,0.06873121624252329,,,0.06873121624252329,0.0,0.06873121624252329,0.06873121624252329
