window_name,window_min_time_min,window_max_time_min,metric_name,metric_label,condition_a,condition_a_label,condition_b,condition_b_label,n_a,n_b,mean_a,mean_b,mean_diff_a_minus_b,statistic,p_value,alpha,significant,note
post_5min,5.0,,center_of_mass_depth,Center-of-Mass Depth,pump_off,Pump off,pump_on,Pump on,3,3,0.1768030791942146,0.17279620071656657,0.004006878477648024,0.21347541493750152,0.8440457060704922,0.05,False,
post_5min,5.0,,deep_tail_fraction,Deep-Tail Fraction,pump_off,Pump off,pump_on,Pump on,3,3,0.014509177757393396,0.017574738331534032,-0.0030655605741406362,-0.21782176953546115,0.8390209650384712,0.05,False,
