condition_name,condition_label,actual_time_min,sample_count,center_of_mass_depth_mean,center_of_mass_depth_std,center_of_mass_depth_sem,deep_tail_fraction_mean,deep_tail_fraction_std,deep_tail_fraction_sem
pump_off,Pump off,0.0,3,0.10979529827614308,0.020431675498425166,0.011796233349010851,0.006241530225283481,0.01047936172738802,0.0060502623142429345
pump_off,Pump off,0.16666666666666652,3,0.10935712412834696,0.020202059020111733,0.011663664213446216,0.005518386154265258,0.008941691789732977,0.005162488161813001
pump_off,Pump off,0.33333333333333304,3,0.11478121540415476,0.01838742782525115,0.010615986404613567,0.007187323474049091,0.011782299190821728,0.006802513609493635
pump_off,Pump off,0.49999999999999956,3,0.11259816099800946,0.017326366413583212,0.010003382312960359,0.005407532558498,0.007979902225442032,0.004607198697965851
pump_off,Pump off,0.6666666666666661,3,0.1170986711619534,0.02246313559265944,0.012969097381264992,0.008369178870262473,0.014495843020926498,0.008369178870262473
pump_off,Pump off,0.8333333333333326,3,0.11783762924648944,0.021858740752159423,0.012620149857405486,0.007063775703853882,0.011907020041392767,0.006874521226144383
pump_off,Pump off,0.9999999999999991,3,0.11866107393034625,0.017692523828376574,0.010214783394957084,0.008225376174757779,0.010667760566686056,0.006159034434826669
pump_off,Pump off,1.1666666666666656,3,0.1177290104474701,0.01578450493837025,0.009113188175193042,0.005841707030254634,0.009353942830494238,0.005400501411170219
pump_off,Pump off,1.3333333333333321,3,0.12038840426295322,0.022218525431169804,0.012827871638682433,0.008523974659031786,0.01331248117963216,0.007685964592642455
pump_off,Pump off,1.4999999999999987,3,0.11931379391064774,0.01905490245923173,0.011001353064219503,0.006634386310805872,0.010305899099911508,0.005950113619575032
pump_off,Pump off,1.6666666666666652,3,0.11997650351922773,0.020294996032850836,0.011717321422768818,0.006467379430806675,0.010491175060427592,0.006057082745253359
pump_off,Pump off,1.8333333333333317,3,0.11868360636170854,0.016586399292665175,0.009576162096506857,0.005692765313544046,0.009435507685088254,0.005447592901926487
pump_off,Pump off,1.9999999999999982,3,0.12069578001780246,0.01605859190369277,0.009271432358403366,0.004516715232178438,0.007781740895013534,0.004492790200499984
pump_off,Pump off,2.1666666666666647,3,0.12132842137805872,0.01429261456651009,0.008251844867398167,0.004421707192139347,0.007527429539286169,0.004345963470812811
pump_off,Pump off,2.3333333333333313,3,0.12192483672921428,0.012608672213965217,0.007279620296856573,0.004325195109560308,0.007273382792799644,0.004199289513342067
pump_off,Pump off,2.499999999999998,3,0.12285785238026,0.013657425934708726,0.00788511853984146,0.004874563080007709,0.00820852274740109,0.0047391928178611865
pump_off,Pump off,2.6666666666666643,3,0.1253776242983479,0.01695814835326978,0.009790791516717917,0.006382524654088835,0.010805838184489656,0.00623875358463464
pump_off,Pump off,2.833333333333331,3,0.12672228177144032,0.018000485149753945,0.010392584946754302,0.006839270042757631,0.011679274301601122,0.006743032161968887
pump_off,Pump off,2.9999999999999973,3,0.12627728298012442,0.0164340149581889,0.009488182959976698,0.005859788118805876,0.01006471147097774,0.005810863877084913
pump_off,Pump off,3.166666666666664,3,0.12764912317738883,0.015683933550610304,0.009055123257397062,0.0060307581648371585,0.010246194809245567,0.0059156433312872745
