time_plot,time_seconds,regularized_effective_diffusivity_mm2_s,regularized_effective_diffusivity_plot_mm2_s,regularized_fitted_Cs,regularized_fitted_Cs_plot,regularized_fitted_velocity_mm_s,regularized_profile_fit_rmse,regularized_profile_fit_r2,regularized_mean_diffusive_flux_magnitude,regularized_diffusion_curve,regularized_convection_curve,regularized_total_curve
0.0,0.0,,0.017079675603835734,,30.075333858350216,0.0,,,,,,
0.16666666666666666,10.0,0.017079675603835734,0.017079675603835734,30.075333858350216,30.075333858350216,0.0,1.4098190849763934,0.9715780238570937,0.19113394061964536,0.23602892514281837,0.0,0.23602892514281837
0.3333333333333333,20.0,0.007871763452896488,0.007871763452896488,31.46247708032981,31.46247708032981,0.0,1.1949728380695317,0.9813698193916166,0.0925280064292531,0.11857738125030307,0.0,0.11857738125030307
0.5,30.0,0.006249698616172856,0.006249698616172856,31.368577799869595,31.368577799869595,0.0,1.2771014480262513,0.9789842957015105,0.07262016746773642,0.08593826639124659,0.0,0.08593826639124659
0.6666666666666666,40.0,0.0045058482674321465,0.0045058482674321465,32.04913065386214,32.04913065386214,0.0,1.3290777095242534,0.9780639327543447,0.053593247235478314,0.06457705071927411,0.0,0.06457705071927411
0.8333333333333334,50.0,0.0035047925588561194,0.0035047925588561194,32.67565429099955,32.67565429099955,0.0,1.2833910147242111,0.9803392246735801,0.04255900114611084,0.0519435996343129,0.0,0.0519435996343129
1.0,60.0,0.003536487847349125,0.003536487847349125,32.327274098943825,32.327274098943825,0.0,1.3290361299399989,0.9794390911177904,0.042109294992094926,0.047081058788861374,0.0,0.047081058788861374
1.1666666666666667,70.0,0.0029615989288707643,0.0029615989288707643,32.896746906972716,32.896746906972716,0.0,1.039244354657496,0.9879762344387808,0.03592276777469615,0.040595976921115356,0.0,0.040595976921115356
1.3333333333333333,80.0,0.0024418634490744467,0.0024418634490744467,33.38895633475842,33.38895633475842,0.0,1.3391951811078828,0.9799148391837988,0.030143595660964202,0.03500720749605003,0.0,0.03500720749605003
1.5,90.0,0.002393191322292122,0.002393191322292122,33.7936508830064,33.7936508830064,0.0,1.4385717883810198,0.9775824511599063,0.02976868060859308,0.03305498908185982,0.0,0.03305498908185982
1.6666666666666667,100.0,0.0021954363477602744,0.0021954363477602744,34.36974839760079,34.36974839760079,0.0,1.071670009149764,0.988373696593467,0.027750878964131902,0.030544237547521693,0.0,0.030544237547521693
1.8333333333333333,110.0,0.001935102934368155,0.001935102934368155,34.88162239319653,34.88162239319653,0.0,1.113746072887786,0.9878418495113044,0.02485856642850175,0.027753149268378463,0.0,0.027753149268378463
2.0,120.0,0.0018380280328930258,0.0018380280328930258,34.465358548482705,34.465358548482705,0.0,1.0559532667361342,0.9887979841547652,0.023293020326975344,0.02558293914549001,0.0,0.02558293914549001
2.316666666666667,139.0,0.001623124144831124,0.001623124144831124,34.845833089774786,34.845833089774786,0.0,1.0245787110100724,0.9897639727812648,0.02077603490219387,0.022581362299641763,0.0,0.022581362299641763
2.65,159.0,0.0014994442664712166,0.0014994442664712166,35.10350424022649,35.10350424022649,0.0,1.103874781482117,0.9883150572608133,0.019288907948982418,0.020436849135133096,0.0,0.020436849135133096
2.9833333333333334,179.0,0.0013670520284277132,0.0013670520284277132,35.61753223037441,35.61753223037441,0.0,1.0652555653184739,0.9895127081506426,0.017823618319110064,0.018657683394897033,0.0,0.018657683394897033
3.316666666666667,199.0,0.0013112005211310242,0.0013112005211310242,35.81609900958696,35.81609900958696,0.0,1.1584100461813505,0.9877720706227395,0.01714478256038502,0.017418938172030246,0.0,0.017418938172030246
3.65,219.0,0.0011853049163465608,0.0011853049163465608,35.7057069913178,35.7057069913178,0.0,1.0840901477919105,0.9892801941788126,0.015454144899620516,0.015739210560887562,0.0,0.015739210560887562
3.9833333333333334,239.0,0.0011715310388779455,0.0011715310388779455,35.87805606478654,35.87805606478654,0.0,1.2142827128105198,0.9866358730460079,0.015301058448536652,0.01504106285334806,0.0,0.01504106285334806
4.316666666666666,259.0,0.0011263531944267372,0.0011263531944267372,36.25046424131918,36.25046424131918,0.0,1.2057359310974785,0.9871920564914924,0.014839362593225785,0.01430817252010085,0.0,0.01430817252010085
4.65,279.0,0.0010017946409794274,0.0010017946409794274,37.056939151113426,37.056939151113426,0.0,1.0143313908760068,0.9914635114353884,0.01351505832273659,0.013296457394574166,0.0,0.013296457394574166
4.983333333333333,299.0,0.0010187155844136075,0.0010187155844136075,36.46515597193881,36.46515597193881,0.0,1.3358089143554592,0.9844610641799408,0.013477779385920256,0.012732616930154223,0.0,0.012732616930154223
5.316666666666666,319.0,0.0009749411917861289,0.0009749411917861289,36.72402639500669,36.72402639500669,0.0,1.2579650047393163,0.9866442388322381,0.01297962019133975,0.012141270649017995,0.0,0.012141270649017995
5.65,339.0,0.000879609152217856,0.000879609152217856,37.350919657098515,37.350919657098515,0.0,1.1952668687878332,0.9882056746178361,0.011930033187210252,0.011384543768307972,0.0,0.011384543768307972
5.983333333333333,359.0,0.0009023426761920458,0.0009023426761920458,37.04744903674481,37.04744903674481,0.0,1.097371282973457,0.9901226967965429,0.012099702225875319,0.011100194652174792,0.0,0.011100194652174792
6.316666666666666,379.0,0.000884076940343324,0.000884076940343324,36.73208695727866,36.73208695727866,0.0,1.232410439792838,0.9871823245309524,0.011738521964080909,0.010595667030469332,0.0,0.010595667030469332
6.65,399.0,0.0009365341466151411,0.0009365341466151411,37.212799296825665,37.212799296825665,0.0,0.9848241051843154,0.9922957608280542,0.012544895071531698,0.010737991790482257,0.0,0.010737991790482257
6.983333333333333,419.0,0.0008825609896616536,0.0008825609896616536,37.59115470932868,37.59115470932868,0.0,1.1260904069494122,0.9900270442191971,0.01194694681905028,0.010278868778891826,0.0,0.010278868778891826
7.316666666666666,439.0,0.0008457531272680438,0.0008457531272680438,37.70647697747736,37.70647697747736,0.0,1.1064577954908972,0.9904207290419251,0.011482025111813253,0.009859318816741068,0.0,0.009859318816741068
