time_plot,time_seconds,effective_diffusivity_mm2_s,effective_diffusivity_std_mm2_s,effective_diffusivity_ci_low_mm2_s,effective_diffusivity_ci_high_mm2_s,effective_diffusivity_hu_noise_std_mm2_s,effective_diffusivity_roi_sensitivity_std_mm2_s,effective_diffusivity_calibration_std_mm2_s,effective_diffusivity_fixed_roi_std_mm2_s,effective_diffusivity_fixed_roi_ci_low_mm2_s,effective_diffusivity_fixed_roi_ci_high_mm2_s,effective_diffusivity_combined_std_mm2_s,effective_diffusivity_combined_ci_low_mm2_s,effective_diffusivity_combined_ci_high_mm2_s,fitted_Cs,fitted_Cs_std,fitted_Cs_hu_noise_std,fitted_Cs_roi_sensitivity_std,fitted_Cs_calibration_std,fitted_Cs_fixed_roi_std,fitted_Cs_fixed_roi_ci_low,fitted_Cs_fixed_roi_ci_high,fitted_Cs_combined_std,fitted_Cs_combined_ci_low,fitted_Cs_combined_ci_high,fitted_Cs_ci_low,fitted_Cs_ci_high,fitted_velocity_mm_s,fitted_velocity_std_mm_s,fitted_velocity_hu_noise_std_mm_s,fitted_velocity_roi_sensitivity_std_mm_s,fitted_velocity_calibration_std_mm_s,fitted_velocity_ci_low_mm_s,fitted_velocity_ci_high_mm_s,fitted_velocity_fixed_roi_std_mm_s,fitted_velocity_fixed_roi_ci_low_mm_s,fitted_velocity_fixed_roi_ci_high_mm_s,fitted_velocity_combined_std_mm_s,fitted_velocity_combined_ci_low_mm_s,fitted_velocity_combined_ci_high_mm_s,peclet_number,peclet_characteristic_length_mm,mean_convection_fraction,profile_fit_rmse,profile_fit_r2,mean_diffusive_flux_magnitude_fixed_roi_std,mean_diffusive_flux_magnitude_fixed_roi_ci_low,mean_diffusive_flux_magnitude_fixed_roi_ci_high,mean_diffusive_flux_magnitude_combined_std,mean_diffusive_flux_magnitude_combined_ci_low,mean_diffusive_flux_magnitude_combined_ci_high,regularized_effective_diffusivity_mm2_s,regularized_effective_diffusivity_plot_mm2_s,regularized_fitted_Cs,regularized_fitted_Cs_plot,regularized_fitted_velocity_mm_s,regularized_profile_fit_rmse,regularized_profile_fit_r2,global_effective_diffusivity_mm2_s,global_smooth_Cs,global_fitted_velocity_mm_s,global_profile_fit_rmse,global_profile_fit_r2,mean_concentration_hu_noise_std,mean_concentration_roi_sensitivity_std,mean_concentration_calibration_std,mean_concentration_fixed_roi_std,mean_concentration_fixed_roi_ci_low,mean_concentration_fixed_roi_ci_high,mean_concentration_combined_std,mean_concentration_combined_ci_low,mean_concentration_combined_ci_high,estimated_hu_noise_std,estimated_concentration_noise_std
0.0,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,0.0,,,,0.017079675603835734,,30.075333858350216,0.0,,,0.0007749099968241481,37.78428915447865,0.0,,,0.15675713116035753,1.9024617766109386,0.02040816813924863,0.1580800161197657,5.8873100556868705,6.506983718876351,1.9090180991708994,2.455471412906648,9.938822361656573,6.208762352573797,0.7152128041209305
0.16666666666666666,10.0,0.01711023697702108,0.0020374921609990428,0.01311682572268027,0.02110364823136189,0.0006228112813916733,0.0023677226818677862,7.124200256190355e-05,0.0021317466128248728,0.012932013615884329,0.02128846033815783,0.003185977765070168,0.010865720557483551,0.023354753396558608,30.06503602306549,1.2074639648865146,0.571054421962044,8.43747664140582,0.025154544517038847,1.3359285648760288,27.446616035908473,32.68345601022251,8.542582584015243,13.321574158395613,46.80849788773536,27.698450139257982,32.43162190687299,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8300000000000001,,1.4098117924610025,0.9715783178907957,0.03305260840215104,0.13110579938061323,0.26067202431704534,0.0849374206566079,0.029411567361877777,0.3623662563357808,0.017079675603835734,0.017079675603835734,30.075333858350216,30.075333858350216,0.0,1.4098190849763934,0.9715780238570937,0.0007749099968241481,37.87591580008537,0.0,6.623563626112561,0.3726485230033879,0.15784099640457178,1.8798713133716025,0.02055111589757402,0.15917326569064152,6.151266550234922,6.775225751742237,1.886598071489552,2.7655139308690577,10.1609783711081,6.208762352573797,0.7152128041209305
0.3333333333333333,20.0,0.007844829807478169,0.0007701037410548413,0.006335454210651121,0.009354205404305217,0.0006000525111681772,0.0016715542512937777,2.8188129975992377e-05,0.0009766869297873505,0.005930523425094962,0.009759136189861375,0.0019359780406388246,0.004050312847826072,0.011639346767130266,31.483185509690667,1.0363107793134871,0.6543494152139196,8.363341872821781,0.027029751709540403,1.2259052965011632,29.080411128548388,33.88595989083295,8.452711463056321,14.915871042100278,48.050499977281056,29.452053705445596,33.514317313935734,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8300000000000001,,1.1949364621476126,0.9813709536093308,0.015513205194774754,0.06256007019750168,0.12337183456101872,0.04534472101023272,0.004090299199204062,0.18184160555931633,0.007871763452896488,0.007871763452896488,31.46247708032981,31.46247708032981,0.0,1.1949728380695317,0.9813698193916166,0.0007749099968241481,37.96616467674519,0.0,5.672725637802379,0.5801592818511587,0.18516693934698272,1.9142778643927765,0.020544409832893774,0.18630316208403733,6.064315888682053,6.79462428405148,1.9233222845656108,2.659758408618169,10.199181764115364,6.208762352573797,0.7152128041209305
0.5,30.0,0.006263541684643848,0.0006350795300776791,0.005018808678372975,0.007508274690914721,0.00038973103047233883,0.0012042929274498294,2.2864285363081597e-05,0.000745479081652786,0.004802402684604387,0.007724680684683309,0.0014163546576643723,0.003487486555621678,0.009039596813666017,31.354764445476366,1.0787232538622964,0.5502110198920159,7.686731008307986,0.026733666331050322,1.2112352016637284,28.98074345021546,33.728785440737276,7.781575952712464,16.10287557815994,46.606653312792794,29.24050571862041,33.46902317233233,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,,1.2770862068272657,0.9789847973102437,0.011956800337145185,0.04879210878214186,0.09566276610375099,0.03308790410950153,0.007375145388323429,0.1370797294975694,0.006249698616172856,0.006249698616172856,31.368577799869595,31.368577799869595,0.0,1.2771014480262513,0.9789842957015105,0.0007749099968241481,38.054751038926916,0.0,5.472638627546982,0.6140894091221338,0.1765037009135918,1.8812477129367822,0.021002275764885933,0.17774884535067725,6.549065533321361,7.245841007096017,1.8896263147652692,3.193785693268761,10.601120847148616,6.208762352573797,0.7152128041209305
0.6666666666666666,40.0,0.0045059796421728915,0.00046932078032040927,0.003586127815548655,0.005425831468797129,0.0003500440406866745,0.0008322750900062259,1.6370457402511186e-05,0.0005857139379734611,0.0033579803237449076,0.005653978960600875,0.0010177144209360754,0.002511259377138184,0.006500699907207599,32.048932550722895,1.1296340799330298,0.37045259430395217,8.150418398862959,0.027144222968196484,1.1891362781503299,29.71822544554825,34.37963965589754,8.23670839380253,15.904984098869935,48.19288100257586,29.834890438345116,34.26297466310068,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8300000000000001,,1.3290777061911758,0.9780639328643678,0.009585065070773672,0.034975849308986645,0.07254930438641943,0.02474687221317057,0.00525870730988872,0.10226644638551735,0.0045058482674321465,0.0045058482674321465,32.04913065386214,32.04913065386214,0.0,1.3290777095242534,0.9780639327543447,0.0007749099968241481,38.141390141099436,0.0,4.825441013076083,0.7108441105540724,0.1461570912594224,1.9525654221203268,0.021013727842751902,0.1476599880917792,6.662970239122418,7.2417973924421934,1.9581407507488309,3.1144279443145977,10.790339687250015,6.208762352573797,0.7152128041209305
0.8333333333333334,50.0,0.003498980796134223,0.00034723229124464683,0.0028184180110253925,0.004179543581243054,0.0002682192654276993,0.0007278081161667945,1.2246131573551878e-05,0.00043893257587936964,0.0026386729474106585,0.004359288644857787,0.0008499214435030786,0.001833134766868189,0.005164826825400257,32.68662675243658,1.0956039326616112,0.6471853222773443,8.161307033086826,0.02776846291143652,1.2727795984251482,30.19197873952329,35.18127476534987,8.259957650889003,16.497109756694137,48.876143748179025,30.539282503099376,34.83397100177378,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8300000000000001,,1.283382049060254,0.9803394993697359,0.007363067356474333,0.027690778207878533,0.05655400224525792,0.02020648012890343,0.002517689173917509,0.08172709127921894,0.0035047925588561194,0.0035047925588561194,32.67565429099955,32.67565429099955,0.0,1.2833910147242111,0.9803392246735801,0.0007749099968241481,38.225797237731584,0.0,4.339846991601201,0.7751817889907251,0.12368258453009948,1.9760742841856838,0.021018081581608235,0.1254557350997408,6.727289489880172,7.219075971471155,1.9800527058867345,3.092279427137664,10.854086034213664,6.208762352573797,0.7152128041209305
1.0,60.0,0.0035421767857641605,0.00035320680946339286,0.0028499041601216094,0.004234449411406712,0.00020876901105911557,0.0004796668609018262,1.341090635118232e-05,0.00041051114800827373,0.002737574935667944,0.004346778635860377,0.0006313475271880636,0.002304735632475556,0.004779617939052765,32.31650184069141,1.101725897813324,0.5657175907687931,8.042755673253875,0.026896208981919852,1.2387734871538951,29.888505805869773,34.74449787551304,8.137596609081383,16.3668124868919,48.266191194490915,30.157158760142238,34.47584492124058,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,,1.329027895016535,0.9794393459144549,0.006702959073905703,0.030262828266930143,0.0565384278366405,0.01720946526315079,0.009670076136009773,0.07713117996756087,0.003536487847349125,0.003536487847349125,32.327274098943825,32.327274098943825,0.0,1.3290361299399989,0.9794390911177904,0.0007749099968241481,38.30768758329221,0.0,4.380332530891494,0.7766515742977358,0.18187155389675436,1.9898632769042532,0.02099862902770406,0.18307977643055817,6.944661024556533,7.66233374816432,1.9982677661689876,3.386892564669211,11.220102208051642,6.208762352573797,0.7152128041209305
1.1666666666666667,70.0,0.0029616424588786807,0.00022806565773146113,0.002514641983614578,0.0034086429341427834,0.00024389739228193876,0.0005586270529985959,1.0049850709708691e-05,0.00033406718141371105,0.002306870783307807,0.0036164141344495544,0.0006508955876633344,0.0016858871070585453,0.004237397810698816,32.89690485560025,0.8648135893683617,0.89349654777364,7.61051241929578,0.028013032817112912,1.2437939360067707,30.45906874102698,35.33474097017352,7.7114799253776525,17.782404201860047,48.01140550934045,31.20190136709745,34.59190834410305,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,,1.0392443494114376,0.9879762345601716,0.005595832571321057,0.025156626602467515,0.047092290282046055,0.015686078140827783,0.005379745286234333,0.06686917159827924,0.0029615989288707643,0.0029615989288707643,32.896746906972716,32.896746906972716,0.0,1.039244354657496,0.9879762344387808,0.0007749099968241481,38.38677643225015,0.0,4.056618246457387,0.8167966413557923,0.1812774376278748,2.0009662391233762,0.02083379621488046,0.18247070027171813,6.879995966055777,7.5952811111209115,2.0092688835915413,3.299471526748923,11.175805550427764,6.208762352573797,0.7152128041209305
1.3333333333333333,80.0,0.002439414661899573,0.00024156126306823186,0.0019659632862258332,0.0029128660375733126,0.00011226733960978295,0.00047922273481101294,8.511857250084367e-06,0.00026651125880912364,0.0019170525946336906,0.002961776729165455,0.0005483454026722301,0.0013646576726620019,0.003514171651137144,33.39531953800358,1.1247492649627362,0.46078640294498857,7.905167776855345,0.02810050821079486,1.215802063139762,31.012347494249642,35.77829158175751,7.998115542861767,17.71901307399451,49.07162600201264,31.190851487038714,35.59978758896844,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,,1.3391918638167555,0.9799149386887018,0.004543583759040643,0.02121869003762752,0.039029538373066844,0.013434210073098526,0.00379306246207407,0.056455165948620295,0.0024418634490744467,0.0024418634490744467,33.38895633475842,33.38895633475842,0.0,1.3391951811078828,0.9799148391837988,0.0007749099968241481,38.462779039074285,0.0,3.61380836454775,0.853742618073177,0.13412097201664933,1.9945564459712801,0.02095836249757449,0.13574862096268445,7.127098391794398,7.659232985968121,1.9991706040903199,3.4747913048642323,11.311540072898286,6.208762352573797,0.7152128041209305
1.5,90.0,0.002394609288270185,0.0002464505512457223,0.0019115750838585262,0.0028776434926818437,0.00016863874560516749,0.0004372564979420628,8.416882238178207e-06,0.0002987436101998102,0.001809071812278557,0.002980146764261813,0.00052956679430245,0.001356658371437383,0.003432560205102987,33.78971581483489,1.1899574151258767,0.52211515090917,7.690207049330237,0.028210909528110388,1.2997687240576175,31.24216911568196,36.337262513987824,7.799274530211566,18.50313773562022,49.07629389404956,31.457442138051796,36.12198949161799,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,,1.438570632315114,0.9775824871902994,0.005118191568872001,0.01956766425618169,0.039630975206159935,0.012933339266010533,0.004249974769790166,0.054948664692551455,0.002393191322292122,0.002393191322292122,33.7936508830064,33.7936508830064,0.0,1.4385717883810198,0.9775824511599063,0.0007749099968241481,38.535410658233424,0.0,3.7025577998229355,0.8514992181746057,0.22028975246560661,2.010105205902554,0.02120112139151674,0.22130761981824318,7.367288536262675,8.234814405950189,2.02225122113603,3.837439077679813,11.764663864533052,6.208762352573797,0.7152128041209305
1.6666666666666667,100.0,0.0021958461695986363,0.00016485631581997923,0.0018727337279675163,0.0025189586112297564,0.0001304079952157735,0.0004366792447110695,7.034232168200263e-06,0.0002103172139985933,0.0017836244301613934,0.002608067909035879,0.0004846876244196464,0.0012458584257361294,0.0031458339134611433,34.368367779241716,0.8838855665385578,0.4382923401831419,7.490096153815892,0.029180069311661592,0.9870184125149012,32.43381169071251,36.30292386777092,7.5548491540235965,19.560863437355465,49.175872121127966,32.63598390237136,36.100751656112074,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,,1.0716698345140558,0.9883737003826325,0.003644886569893205,0.02036827444997146,0.034656229803952825,0.01179107135432431,0.004401752272486497,0.050622751981437786,0.0021954363477602744,0.0021954363477602744,34.36974839760079,34.36974839760079,0.0,1.071670009149764,0.988373696593467,0.0007749099968241481,38.60438654419643,0.0,3.490273676096322,0.8766785956321597,0.18576340329197008,2.0501716697074825,0.021095668902524806,0.18695739955685112,7.367083323838278,8.099956330101135,2.0586784461202843,3.6985100725739493,11.768529581365463,6.208762352573797,0.7152128041209305
1.8333333333333333,110.0,0.0019339635995511023,0.0001496708701557269,0.0016406140845111068,0.0022273131145910978,0.0001226272935427017,0.0004121713122867458,6.204925036555669e-06,0.00019359060821612617,0.001554526007447495,0.0023134011916547095,0.0004553707437480671,0.0010414369418048908,0.0028264902572973137,34.886387055134215,0.9231237411397745,0.3576030003716834,7.5473673927064,0.02946087059811319,0.990406628727374,32.94519006282856,36.82758404743987,7.61207329514863,19.9667233966429,49.806050713625524,33.077097769226384,36.695676341042045,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,,1.1137443896180679,0.9878418862619275,0.0033848640285011377,0.018216931140501307,0.03148559813222577,0.010860104063562213,0.0035654606717815986,0.04613706860094548,0.001935102934368155,0.001935102934368155,34.88162239319653,34.88162239319653,0.0,1.113746072887786,0.9878418495113044,0.0007749099968241481,38.66942195143215,0.0,3.1522658178500413,0.9026040700816962,0.187818727820741,2.098721047470399,0.0195994349916304,0.18883858814392976,7.342997265883683,8.083244531407887,2.107199574664783,3.583009732302811,11.84323206498876,6.208762352573797,0.7152128041209305
2.0,120.0,0.0018391001381732471,0.00013553686450762387,0.0015734527651608192,0.002104747511185675,9.100746426857113e-05,0.00037839536830480594,5.840399914416521e-06,0.00016336067600347873,0.0015189132132064288,0.0021592870631400654,0.00041215259943235016,0.0010312810432858408,0.0026469192330606534,34.46065882323778,0.8702374193862525,0.7370702542396197,7.377616194488955,0.029290670869652584,1.1408083402504106,32.224674476346976,36.69664317012858,7.465297340519705,19.828676035819157,49.0926416106564,32.75502482324165,36.16629282323391,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,,1.0559514729141959,0.9887980222140341,0.0029346064031721126,0.01727712679278788,0.028780783893222563,0.00992807007839108,0.003569937989358705,0.042487972696651735,0.0018380280328930258,0.0018380280328930258,34.465358548482705,34.465358548482705,0.0,1.0559532667361342,0.9887979841547652,0.0007749099968241481,38.73023213440944,0.0,2.9802875050876763,0.9107674897555373,0.15316687250229957,2.0508586489649026,0.020921640596238515,0.1545891518748126,7.453853682387827,8.059843157737092,2.056676689203123,3.7257621092243385,11.78793473090058,6.208762352573797,0.7152128041209305
2.316666666666667,139.0,0.0016225481490172563,0.00011419850432462112,0.0013987231934526573,0.0018463731045818554,8.806313528871574e-05,0.0003437018572029206,5.048266790192595e-06,0.0001442979528075299,0.0013397241615144978,0.001905372136520015,0.00037276382044020977,0.0008919310609544453,0.0023531652370800673,34.84852215276471,0.8415150661736749,0.5702196380750054,7.261510512015237,0.029636893278665605,1.0169446335405314,32.855310671025265,36.84173363450415,7.332374192837861,20.4770687348025,49.219975570726916,33.199182930616466,36.49786137491295,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,,1.024578019309204,0.9897639866020996,0.0025033763288235065,0.015704554769477175,0.025517789978465318,0.00880656430836272,0.0033503063295803152,0.037872038418362175,0.001623124144831124,0.001623124144831124,34.845833089774786,34.845833089774786,0.0,1.0245787110100724,0.9897639727812648,0.0007749099968241481,38.83311117311448,0.0,2.6527476775877923,0.9313828520848683,0.2014684225015849,2.0555993845874343,0.0212185787374337,0.2025827074281361,7.478830003931726,8.27295421705002,2.065557693037198,3.827399032137965,11.92438518884378,6.208762352573797,0.7152128041209305
