window_name,window_min_time_min,window_max_time_min,tracer_name,tracer_label,condition_name,condition_label,sample_id,run_display,roi_folder,metric_name,metric_label,timepoint_count,mean,std,median,iqr,min,max
10_to_20min,10.0,20.0,VIS320,VIS320,pump_on,Pump on,VIS_ON_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\VIS320_Pump_Run_2,VIS_PUMP,center_of_mass_depth,Center-of-Mass Depth,60,0.2058834763000218,0.007648057892264522,0.2063424727710791,0.012530971002150199,0.19468933313746903,0.22166358028735536
10_to_20min,10.0,20.0,VIS320,VIS320,pump_on,Pump on,VIS_ON_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\VIS320_Pump_Run_2,VIS_PUMP,deep_tail_fraction,Deep-Tail Fraction,60,0.03957964645654257,0.0033675630733188957,0.03936946046328145,0.004308309907701743,0.03302675536720074,0.04743895819534074
10_to_20min,10.0,20.0,VIS320,VIS320,pump_on,Pump on,VIS_ON_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\VIS320_Pump_Run_2,VIS_PUMP,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,60,0.4829145728643217,0.029121047792727,0.4849246231155779,0.055276381909547756,0.4321608040201005,0.5376884422110553
20_to_25min,20.0,25.0,VIS320,VIS320,pump_off,Pump off,VIS_OFF_LEGACY,C:\Users\brend\OneDrive - University of Toronto\VS Code Files\Results\Results_Paper_1\VIS320_Swollen_No_Pressure_135kvp,VIS_320,center_of_mass_depth,Center-of-Mass Depth,17,0.21352744388202433,0.003190737376084945,0.21442039438781746,0.00596017900034862,0.2088911636336457,0.2180658383700365
20_to_25min,20.0,25.0,VIS320,VIS320,pump_off,Pump off,VIS_OFF_LEGACY,C:\Users\brend\OneDrive - University of Toronto\VS Code Files\Results\Results_Paper_1\VIS320_Swollen_No_Pressure_135kvp,VIS_320,deep_tail_fraction,Deep-Tail Fraction,17,0.042192117316809975,0.002710350097357007,0.04267967604185777,0.004749868018500476,0.038409710309956324,0.045863018183365134
20_to_25min,20.0,25.0,VIS320,VIS320,pump_off,Pump off,VIS_OFF_LEGACY,C:\Users\brend\OneDrive - University of Toronto\VS Code Files\Results\Results_Paper_1\VIS320_Swollen_No_Pressure_135kvp,VIS_320,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,17,0.5140407921962754,0.008661002260705658,0.5125628140703518,0.01005025125628145,0.5025125628140703,0.5276381909547738
20_to_25min,20.0,25.0,VIS320,VIS320,pump_on,Pump on,VIS_ON_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\VIS320_Pump_Run_2,VIS_PUMP,center_of_mass_depth,Center-of-Mass Depth,17,0.22141305084389276,0.0027862770244168264,0.22105917041310738,0.001501409231524753,0.21703518533644128,0.22732671025802154
20_to_25min,20.0,25.0,VIS320,VIS320,pump_on,Pump on,VIS_ON_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\VIS320_Pump_Run_2,VIS_PUMP,deep_tail_fraction,Deep-Tail Fraction,17,0.04503565563040923,0.002610724751820254,0.04454351450292483,0.0026781092595167533,0.04212975928715671,0.05105594591964617
20_to_25min,20.0,25.0,VIS320,VIS320,pump_on,Pump on,VIS_ON_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\VIS320_Pump_Run_2,VIS_PUMP,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,17,0.540348802837718,0.01052845475102023,0.542713567839196,0.015075376884422176,0.5226130653266332,0.5577889447236181
post_5min,5.0,,VIS320,VIS320,pump_off,Pump off,VIS_OFF_LEGACY,C:\Users\brend\OneDrive - University of Toronto\VS Code Files\Results\Results_Paper_1\VIS320_Swollen_No_Pressure_135kvp,VIS_320,center_of_mass_depth,Center-of-Mass Depth,107,0.18581798019767318,0.020113815346096384,0.18865577474400755,0.033781640180597566,0.14996112030252756,0.2180658383700365
post_5min,5.0,,VIS320,VIS320,pump_off,Pump off,VIS_OFF_LEGACY,C:\Users\brend\OneDrive - University of Toronto\VS Code Files\Results\Results_Paper_1\VIS320_Swollen_No_Pressure_135kvp,VIS_320,deep_tail_fraction,Deep-Tail Fraction,107,0.028572874347086226,0.00909487957564533,0.028044449633138083,0.015909933790439618,0.012352382562041403,0.045863018183365134
post_5min,5.0,,VIS320,VIS320,pump_off,Pump off,VIS_OFF_LEGACY,C:\Users\brend\OneDrive - University of Toronto\VS Code Files\Results\Results_Paper_1\VIS320_Swollen_No_Pressure_135kvp,VIS_320,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,107,0.44178838115812713,0.05188912066381511,0.44221105527638194,0.09045226130653267,0.34673366834170855,0.5276381909547738
post_5min,5.0,,VIS320,VIS320,pump_on,Pump on,VIS_ON_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\VIS320_Pump_Run_2,VIS_PUMP,center_of_mass_depth,Center-of-Mass Depth,107,0.20218120283509936,0.014151959708953471,0.20441739992677088,0.02528410231497033,0.17544605776208136,0.22732671025802154
post_5min,5.0,,VIS320,VIS320,pump_on,Pump on,VIS_ON_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\VIS320_Pump_Run_2,VIS_PUMP,deep_tail_fraction,Deep-Tail Fraction,107,0.03830332789798445,0.005543570641497201,0.03875973970519075,0.007776450098355744,0.02374613705615994,0.05105594591964617
post_5min,5.0,,VIS320,VIS320,pump_on,Pump on,VIS_ON_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\ADE_Results\Fixed_V\VIS320_Pump_Run_2,VIS_PUMP,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,107,0.47104682289954447,0.05024811049505993,0.46733668341708545,0.08542713567839189,0.38190954773869346,0.5577889447236181
