0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0.0003481758196078079,0.0002659602580261223,0.00017445994783653494,0.00014404166042557268,0.00013829288065499542,,,0.0005103466227916353,0.00010563910344746985,5.0511464000776865e-05,2.9292199231980062e-05,1.8184771975415803e-05,1.1492354569669496e-05,7.211907839505249e-06,4.434475316204983e-06,2.6516073343246786e-06,1.6841326957557823e-06,8.974862374535285e-07
0.00016164440751104313,0.00020239351293254703,0.0001483227807631892,0.00012363682171846312,0.0001159789917533884,,,0.0003435987771521368,7.68954067100887e-05,3.717365955255605e-05,2.1728723059992437e-05,1.3613741650217165e-05,8.706672751123872e-06,5.549925855082425e-06,3.4814276903005083e-06,2.1334527061221e-06,1.428362301053076e-06,8.743022579930353e-07
,9.699010550320222e-05,2.010833946750492e-05,7.831659054227545e-06,2.5628922985799524e-05,4.617015599817761e-05,0.00010153464623818927,0.0005279240887556006,6.755331754634037e-05,3.397144058653811e-05,2.131046395266682e-05,1.4362495316488065e-05,9.837801231350753e-06,6.671933376236066e-06,4.421548377684752e-06,2.843690310563405e-06,2.0021484840156248e-06,1.2786115723259878e-06
0.0002266756631279823,1.639495488219977e-05,6.379800358976026e-05,7.426289539987945e-05,8.169181191040843e-05,9.988060048330479e-05,,,0.00011298805876373876,5.063377379827932e-05,2.970094595956353e-05,1.9151105845379645e-05,1.2758750919080884e-05,8.528798342463508e-06,5.6333335488392894e-06,3.6453822778381288e-06,2.571557600249452e-06,1.6012956716738862e-06
5.885806295538729e-05,0.0001290977201017472,0.0001316935737177998,0.00012569637665302613,0.00012639937253972018,0.00014566719019730142,,,0.00017096985477263221,7.252909588799567e-05,4.1318459215748604e-05,2.608419228013433e-05,1.7097391644795797e-05,1.128829138903535e-05,7.388625630961191e-06,4.751759325691063e-06,3.4405878525856675e-06,2.385888213467333e-06
0.00021147420623761893,0.00018185233167559666,0.00012462529034995735,0.00010397565828748215,9.752326007136941e-05,0.00010558982286394305,,,0.00018181758248605705,6.503152268696087e-05,3.535837053517022e-05,2.197894924794191e-05,1.437875145971499e-05,9.53779695000876e-06,6.291078970824212e-06,4.081624572955318e-06,2.9193187341201005e-06,1.8618804295976628e-06
5.535828514379033e-05,0.00010624770036266944,8.311331766629935e-05,6.985613065752617e-05,6.3315358713869e-05,,,,8.534127784368768e-05,3.1332405498396326e-05,1.6867764433137422e-05,1.0341335158126987e-05,6.679214611550335e-06,4.386358361116677e-06,2.8753390216792474e-06,1.8620958321025635e-06,1.353188194917226e-06,9.205533635444029e-07
5.70809564152892e-05,6.70734999701476e-05,7.508074971915361e-05,7.386258805264161e-05,7.457899360632001e-05,8.338281282044658e-05,,,0.00017032996300934942,5.8323001212446034e-05,3.1753610554598015e-05,1.9988674187615175e-05,1.332355767893354e-05,9.042869035623098e-06,6.1232484765482575e-06,4.089938736431564e-06,3.057901213351574e-06,2.103658163236265e-06
