0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0.0003096448721674793,9.475907446787092e-05,2.2241258320994772e-05,3.5883530304181864e-06,5.926180198400487e-07,1.560009153558049e-06,2.762907356797456e-06,3.7082867783963977e-06,4.409944251209288e-06,4.9260451277131575e-06,5.304891323658196e-06,5.583840219734701e-06,5.794069951231244e-06,5.965031879007915e-06,6.128695521018135e-06,6.325184125447314e-06,6.566206308558432e-06,3.8039001820012127e-06
0.0002938324662893586,9.468638514872104e-05,3.690055577012432e-05,2.5554423395390653e-05,2.3494178839551067e-05,2.3105110818763156e-05,2.2371408471867858e-05,2.115247984076195e-05,1.95717976233267e-05,1.7753976061368402e-05,1.579761143940082e-05,1.3777105530509375e-05,1.1746628751726625e-05,9.7430845347933e-06,7.788047199089464e-06,5.888805837035521e-06,3.927959648142919e-06,5.135392178983383e-07
2.2050166788297424e-05,9.454605901197426e-06,1.1233679763858248e-06,1.2882285859617176e-05,1.7622388041656755e-05,1.8513532112314037e-05,1.837090003265658e-05,1.7899525597640663e-05,1.727487822893787e-05,1.6562977285208683e-05,1.5801323017058427e-05,1.5018056182796782e-05,1.4237461319268875e-05,1.3481838345439156e-05,1.2772425180303866e-05,1.2130336076403685e-05,1.2066911894180012e-05,8.578369204114924e-06
6.485642398495232e-05,2.4485202696963567e-05,1.4236664808168656e-06,8.871457125407951e-06,1.203085158345206e-05,1.2461432982592273e-05,1.2382075136275285e-05,1.223094316610969e-05,1.2071306385010565e-05,1.1907352607019891e-05,1.1735929345851951e-05,1.155597024778796e-05,1.1370152000137626e-05,1.1184997090437297e-05,1.101080697310533e-05,1.0861888173376435e-05,1.1180981953221424e-05,8.079670402621598e-06
4.786493558038449e-05,2.1906829405646712e-05,8.39100919232645e-06,2.637235212075539e-05,3.2553327853149975e-05,3.363583389529474e-05,3.3628134161187867e-05,3.341006001359161e-05,3.3154796808030216e-05,3.291244010530095e-05,3.271070323496189e-05,3.257597028401865e-05,3.253934685025668e-05,3.263993744558019e-05,3.292856143087343e-05,3.347361030674451e-05,3.567740892235375e-05,2.6722831146717862e-05
0.00023916452758394378,7.990594179077905e-05,2.091886307498236e-05,3.826193610297371e-06,2.30401798754657e-07,2.6240153155574034e-07,2.3482108245790928e-07,6.327270382656295e-07,8.887269756505475e-07,1.0377493763170705e-06,1.1156410283372819e-06,1.1494227697291843e-06,1.1580890344267017e-06,1.1547048809098017e-06,1.148284727989742e-06,1.145330295477152e-06,9.96780858106348e-07,4.5491346635795554e-08
0.000263805309272475,8.578453887957884e-05,3.4292309391283355e-05,2.5786901384631164e-05,2.4894165798993152e-05,2.5252267776506902e-05,2.5375515998065236e-05,2.5137923646188837e-05,2.4622611166979454e-05,2.3917004551306775e-05,2.3091247706062818e-05,2.220054082270514e-05,2.128924953697399e-05,2.0394149246993753e-05,1.9546956071230105e-05,1.8776606067011804e-05,1.8497225825316125e-05,1.1814266221480564e-05
0.0001425161425417601,5.1388080830122045e-05,1.55617632880105e-05,4.309641038578367e-06,1.0741502914707382e-06,5.562429109979225e-07,4.362761042488919e-07,2.611146110689514e-07,3.905535405035422e-09,3.3147198125657065e-07,6.907968792927444e-07,1.057044088253553e-06,1.412168013119199e-06,1.7442267973196894e-06,2.0465128678924246e-06,2.3167638791141495e-06,2.820906577666053e-06,2.7702690528485376e-06
