0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0.0005159051494762069,0.00022610954370357177,6.607451225660293e-05,5.4424389935515015e-06,1.2728437533045265e-05,1.7956872979637498e-05,1.950366426416201e-05,1.9726991581618224e-05,1.9407151573143396e-05,1.8901438391425237e-05,1.8436685479678636e-05,1.8221695594433223e-05,1.8544323968604006e-05,1.9986273941740224e-05,2.4277899007126096e-05,,0.0003000432530989541,2.0849419925056827e-05
0.0006857399705005733,0.00029194452921479393,8.877822469956039e-05,3.408878936330166e-05,1.842444041276782e-05,1.3289263210138405e-05,1.0010791475610258e-05,6.96259774546574e-06,3.812159468973502e-06,4.6682990505667945e-07,3.136899984540205e-06,7.107926515693664e-06,1.1663218712914136e-05,1.7238780012873875e-05,2.4766666212876413e-05,3.6551630040824426e-05,,
1.7399569512571184e-05,4.095303343704933e-05,2.6781012505183893e-05,5.648796472470616e-05,6.0303456721885546e-05,5.783906661343242e-05,5.4333327442890256e-05,5.055933442850494e-05,4.680948961174892e-05,4.328569609939643e-05,4.016397871381478e-05,3.762721395716209e-05,3.591681589649564e-05,3.5456072548159335e-05,3.722774027088051e-05,4.440484860882955e-05,,
2.6375282546672058e-05,7.190177859238974e-05,1.2798403259048917e-05,4.233232526641449e-06,1.360650550689467e-05,2.0579203024957198e-05,2.4943226691747786e-05,2.784234562971924e-05,3.00267411007592e-05,3.194895494219804e-05,3.39343418258332e-05,3.6289304963324095e-05,3.939993293328658e-05,4.3889149007044326e-05,5.099056620510895e-05,6.37398657832308e-05,9.176489659287599e-05,9.508791841615043e-05
0.0001589129856544313,9.959987529732321e-05,4.049725891422513e-05,2.828113596158191e-05,2.6478836311205736e-05,2.588988793303832e-05,2.6310652352846645e-05,2.7543913970516935e-05,2.9395905639349188e-05,3.17795770524299e-05,3.469984728172079e-05,3.824287118517282e-05,4.2583487009798315e-05,4.801470113356925e-05,5.501194387140508e-05,6.436574426965244e-05,7.984545700999498e-05,
0.00047179543518627586,0.0002468195307095477,0.00010800254677602452,4.781924305810671e-05,2.402667187036235e-05,1.4976038095292032e-05,1.064794945475687e-05,7.983416868736678e-06,6.098388436863497e-06,4.683726260782906e-06,3.6112604161453166e-06,2.8198611660518205e-06,2.277703591783652e-06,1.9714730804702213e-06,1.910543749696164e-06,2.1519721216853694e-06,2.373251969540148e-06,5.0588803383722036e-08
0.0007549298572086725,0.0002662903501991913,6.620996120902399e-05,2.1395591683136108e-05,1.3045252550353263e-05,1.2283159883382367e-05,1.2457523484272287e-05,1.242988553732899e-05,1.2088149340856828e-05,1.149626781016766e-05,1.0737127724914269e-05,9.880893745613525e-06,8.980143926713955e-06,8.070872775861838e-06,7.174188196162888e-06,6.296971636480786e-06,5.347285292863564e-06,2.0557548711954204e-06
0.00034857924700440116,9.1935931097503e-05,1.5285994792270085e-05,3.889279392710766e-05,4.0504430766827005e-05,3.7458758536577476e-05,3.4347466135965474e-05,3.163471013863517e-05,2.927481565376045e-05,2.720853878619541e-05,2.54073114934868e-05,2.386897173598068e-05,2.261383905877283e-05,2.168851219283189e-05,2.118283854987238e-05,2.1276043920729247e-05,2.341008727411497e-05,1.9512576517271577e-05
