time,mean_concentration,effective_diffusivity,effective_diffusivity_std,effective_diffusivity_ci_low,effective_diffusivity_ci_high,fitted_Cs,fitted_Cs_std,fitted_Cs_ci_low,fitted_Cs_ci_high,fitted_velocity,fitted_velocity_std,fitted_velocity_ci_low,fitted_velocity_ci_high,diffusion_curve,convection_curve,total_curve,mean_diffusive_flux_magnitude,mean_diffusive_flux_magnitude_fixed_roi_std,mean_diffusive_flux_magnitude_fixed_roi_ci_low,mean_diffusive_flux_magnitude_fixed_roi_ci_high,mean_diffusive_flux_magnitude_combined_std,mean_diffusive_flux_magnitude_combined_ci_low,mean_diffusive_flux_magnitude_combined_ci_high,mean_convection_magnitude,peclet_number,peclet_characteristic_length_mm,convection_to_diffusion_ratio_mean,mean_convection_fraction,profile_fit_rmse,profile_fit_r2,effective_diffusivity_hu_noise_std,effective_diffusivity_roi_sensitivity_std,effective_diffusivity_calibration_std,effective_diffusivity_fixed_roi_std,effective_diffusivity_fixed_roi_ci_low,effective_diffusivity_fixed_roi_ci_high,effective_diffusivity_combined_std,fitted_Cs_hu_noise_std,fitted_Cs_roi_sensitivity_std,fitted_Cs_calibration_std,fitted_Cs_fixed_roi_std,fitted_Cs_fixed_roi_ci_low,fitted_Cs_fixed_roi_ci_high,fitted_Cs_combined_std,fitted_velocity_hu_noise_std,fitted_velocity_roi_sensitivity_std,fitted_velocity_calibration_std,fitted_velocity_fixed_roi_std,fitted_velocity_fixed_roi_ci_low,fitted_velocity_fixed_roi_ci_high,fitted_velocity_combined_std,mean_concentration_hu_noise_std,mean_concentration_roi_sensitivity_std,mean_concentration_calibration_std,mean_concentration_fixed_roi_std,mean_concentration_fixed_roi_ci_low,mean_concentration_fixed_roi_ci_high,mean_concentration_combined_std,regularized_effective_diffusivity,regularized_fitted_Cs,regularized_mean_diffusive_flux_magnitude,regularized_profile_fit_rmse,regularized_profile_fit_r2,global_profile_fit_r2
0.0,6.246110764487336,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,,,,,,,,0.07645507189661296,2.5549502632255567,0.011569184622789053,0.07732544245946761,6.09455289726678,6.397668631707893,2.5561201207313977,0.010884743565827741,41.13511711405554,,,,
0.16666666666666666,6.39280551765689,0.010888447597743942,0.00018819007134610258,0.010519601835657557,0.011257293359830327,41.13277100243228,0.23201698020398592,40.67802607743072,41.587515927433834,,,,,0.24430385865628176,,0.24430385865628176,0.16922276047216722,0.006146343121593089,0.15717592795384477,0.18126959299048967,0.10254675120884278,-0.031768871897164624,0.37021439284149904,,,,,,0.2547079544143316,0.9995163971780098,0.00020042738018659316,0.003871120056167697,2.168827232347253e-05,0.00027578437018455093,0.010347910232182221,0.011428984963305662,0.0038809312681496798,0.36663780442865346,11.245601412139443,0.03262254085002068,0.43510847947466114,40.279958382661945,41.98558362220261,11.254015750372103,,,,,,,,0.06629814418997987,2.5575815123456915,0.011419210804435916,0.06727438069898159,6.260947731486886,6.524663303826894,2.5584661488069185,0.010884743565827741,41.13511711405554,0.17067634907083196,0.25471098763395233,0.9995163856598591,0.4636776298407971
0.3333333333333333,6.699668844063755,0.005779644141666312,0.00013349082611239016,0.005518006930219528,0.006041281353113096,41.73954299004513,0.3161171326695126,41.119964795116815,42.359121184973446,,,,,0.12901838219252298,,0.12901838219252298,0.09115686454322819,0.00487404289089861,0.08160374047706691,0.10070998860938947,0.05339615898403993,-0.013499607065490082,0.19581333615194646,,,,,,0.3496899212288475,0.9991209906982563,0.00019144928586797548,0.0019653471559142426,1.1659736488499813e-05,0.0002336847859200668,0.005321621961262981,0.006237666322069643,0.0019791912546367795,0.37860496823631384,11.191053251416792,0.03284149673597043,0.49431804281077296,40.770679626136015,42.708406353954246,11.201965149182291,,,,,,,,0.10167083391482279,2.5916762410788543,0.012270649669389191,0.10240862909073806,6.498947931045908,6.9003897570816015,2.593698761592191,0.005781837258525827,41.73696075006706,0.09166630747529615,0.34969276155823725,0.999120976418828,0.5807169060881792
0.5,6.716640993711297,0.003818468568505814,5.848539799622747e-05,0.003703839294811717,0.0039330978421999105,42.523336702005864,0.21341712311749916,42.105046827011414,42.941626577000314,,,,,0.0849415058900949,,0.0849415058900949,0.06098547246473754,0.002419540563103771,0.05624317296105415,0.06572777196842093,0.036384425707992524,-0.010328001922927807,0.1322989468524029,,,,,,0.23580859020119066,0.9996170390466848,9.069630061317182e-05,0.0013524946501789576,7.244482754826833e-06,0.00010816119107183012,0.0036064726340050268,0.004030464503006601,0.0013568126702005615,0.3316834183434988,11.160247418030947,0.03360258495189995,0.39584074090374766,41.74748884983452,43.29918455417721,11.167265212388648,,,,,,,,0.06347446107575988,2.6200305502739236,0.011598019508796938,0.06452535366338251,6.590171300531067,6.843110686891527,2.6208249856932575,0.0038190703288322626,42.522081432533454,0.061719900370570104,0.23580936782113826,0.9996170365209196,0.6711799043159783
0.6666666666666666,6.940487190402676,0.0030229884540645268,5.230240338202381e-05,0.002920477627130874,0.0031254992809981795,42.88661845003902,0.24415569604006077,42.4080820791802,43.36515482089785,,,,,0.06626094272074885,,0.06626094272074885,0.048623087868864885,0.00237693542517917,0.04396429443551371,0.05328188130221606,0.028178951263359325,-0.006607656607319393,0.10385383234504916,,,,,,0.2716722332406664,0.9995049017098112,9.537482732586867e-05,0.0010317745667783327,5.7626673500040025e-06,0.00010892707387037441,0.0028094913892785928,0.0032364855188504607,0.0010375084886749496,0.21414661687896203,11.039275805577777,0.033746399859655794,0.3265112508520943,42.24665639836892,43.52658050170913,11.044103399939168,,,,,,,,0.07631616021737901,2.6408674785872175,0.01135848244067613,0.07715679771530057,6.789259866880687,7.091714513924665,2.641994362388627,0.003022438285500612,42.88770317290325,0.04911547709346797,0.27167317114755546,0.9995048982913028,0.7208426098021641
0.8333333333333334,7.016317512391618,0.0024816309642221807,4.241924756557959e-05,0.0023984907667423563,0.002564771161702005,42.80186772567109,0.24121297132178932,42.32909898927649,43.274636462065686,,,,,0.05419961562928274,,0.05419961562928274,0.03987931468432752,0.0019388304308805436,0.03607920703980165,0.043679422328853384,0.022658175169121015,-0.0045307086471496685,0.08428933801580471,,,,,,0.2693112287249557,0.9995132530326126,7.618058610068832e-05,0.0008224236549365714,4.795211645093431e-06,8.732621781226734e-05,0.002310471577310137,0.0026527903511342245,0.0008270468768556135,0.36553602377998684,10.993919442256866,0.03361669605864225,0.43923839138748855,41.94096047855161,43.662774972790565,11.002690355876702,,,,,,,,0.05732023950109511,2.639476418367733,0.011993903702818231,0.058561622095834924,6.901536733083781,7.1310982916994545,2.6401259868994607,0.0024814531271957004,42.80289113714602,0.04018629212819071,0.26931142087195903,0.9995132523380482,0.7652474700901382
1.0,7.2176681280676505,0.0021085099283746976,3.8496782541330616e-05,0.0020330576210730194,0.0021839622356763758,43.57782301644926,0.26270021297469687,43.06294006028785,44.092705972610666,,,,,0.045300889274035666,,0.045300889274035666,0.03426173708868299,0.0013468829653130515,0.031621846476669414,0.03690162770069657,0.019560900339896437,-0.004077627577514023,0.07260110175488001,,,,,,0.2940566098230471,0.9994414155720236,4.653912710892057e-05,0.0007168081441628677,3.9390771643022585e-06,6.0526101369583446e-05,0.001989878769690314,0.002227141087059081,0.0007193589677519949,0.3381803587069319,10.833357601084257,0.034209166849585006,0.4295900650720905,42.73582648890796,44.419819543990556,10.841871818877896,,,,,,,,0.1036373378207502,2.6608095732550767,0.013278000712283048,0.10448446340718646,7.012878579789565,7.4224576763457355,2.6628602269400754,0.0021089555476778857,43.57587142722742,0.03473273073912496,0.29405784569822524,0.9994414108767231,0.7975899005911541
1.1666666666666667,7.460750254664432,0.0019140855269003368,3.961529719172836e-05,0.0018364409711676985,0.0019917300826329753,43.925872373398,0.3014499946946659,43.335041240656665,44.516703506139336,,,,,0.040609076888142664,,0.040609076888142664,0.03136845295241968,0.0015912829649394567,0.028249538341138348,0.03448736756370102,0.017297302329024145,-0.002534259612467643,0.06527116551730701,,,,,,0.3400443331119225,0.9992721515259584,5.5746482947173644e-05,0.0006212480918351545,3.6311751653534424e-06,6.848523611443537e-05,0.0017798544641160435,0.0020483165896846302,0.0006250115352331271,0.5208119887879666,10.747718491095672,0.03429238274289554,0.6027380811603631,42.74450573432369,45.10723901247231,10.764606168286916,,,,,,,,0.08827248045700496,2.6873735412285695,0.012667216710198973,0.0891767300657266,7.285963863735607,7.635536645593256,2.68885273662962,0.001913495501855714,43.9285207746247,0.03167020031428415,0.3400466341548017,0.9992721416753827,0.8175835740150785
1.3333333333333333,7.44710721400348,0.0016484365934813009,2.796878538301602e-05,0.0015936187814392592,0.0017032544055233425,44.51612834711078,0.2501527818729057,44.02583790400738,45.00641879021418,,,,,0.034888328109962036,,0.034888328109962036,0.02725731100504454,0.001004773977451437,0.025287954009239725,0.029226668000849356,0.015309824375215386,-0.0027499447703776166,0.057264566780466694,,,,,,0.2815740304186909,0.9995153861684691,3.29373641193785e-05,0.0005551590402692203,3.008011044673387e-06,4.3314790099671614e-05,0.0015635396048859446,0.0017333335820766572,0.0005568462364369723,0.2882541732867505,10.745557998673375,0.0348322161235731,0.38324948268205244,43.764959361053954,45.267297333167605,10.752390286295853,,,,,,,,0.06508129503815936,2.7082299205577822,0.012206486862027043,0.0662161104668402,7.317323637488473,7.576890790518487,2.7090392902078344,0.0016488434144873508,44.51383321939382,0.027676524902816847,0.28157590172084135,0.9995153797270945,0.8487473692788998
1.5,7.546610077917806,0.0015122581381217272,2.4206469796397143e-05,0.0014648143291279322,0.0015597019471155222,44.510557180243154,0.23651473889078217,44.04699681020433,44.97411755028198,,,,,0.03182539315546958,,0.03182539315546958,0.025011770933692334,0.001098369193746724,0.022858967313948757,0.027164574553435912,0.013767795767136182,-0.0019731087698945833,0.05199665063727925,,,,,,0.2673649166211242,0.9995654591804638,4.203175452246119e-05,0.0004953895842717338,2.747294567256931e-06,4.8581572593727384e-05,0.0014170382558380216,0.0016074780204054328,0.0004977660187282784,0.3001063500617217,10.661323526533382,0.03483621028916499,0.3836881606295071,43.75852838540932,45.26258597507699,10.668225529206882,,,,,,,,0.08794424652535512,2.709283534909593,0.01245284306016044,0.08882152778011321,7.372519883468784,7.720700272366828,2.7107391125538833,0.0015120192125786338,44.5122913110862,0.025336355603203072,0.2673657705383847,0.9995654564047631,0.8661532872718134
1.6666666666666667,7.660036536077336,0.0013724310359286658,2.1801901295412012e-05,0.001329700094595161,0.0014151619772621706,45.16752044388197,0.23833204176401077,44.70039822566261,45.63464266210133,,,,,0.02871301048579393,,0.02871301048579393,0.02295243270031684,0.0009281616312069377,0.02113323590315124,0.02477162949748244,0.01268866300219623,-0.0019173467839877709,0.04782221218462145,,,,,,0.2697261933925455,0.9995721468839694,3.411944623664971e-05,0.0004574167405173441,2.4447457817325162e-06,4.0563977782360264e-05,0.0012929256394752396,0.001451936432382092,0.00045921183651887625,0.2647923989707445,10.60569044221604,0.03530369954805368,0.3579993406221069,44.46584173626264,45.8691991515013,10.611730927798657,,,,,,,,0.08279015565932356,2.734043428291018,0.012305144244995864,0.08369962036344716,7.495985280164979,7.824087791989693,2.735324312440901,0.0013725635304702281,45.166111472276334,0.023326638707716552,0.26972658820398654,0.9995721456314294,0.8837278845585395
1.8333333333333333,7.7110352118580066,0.0012799679517743626,2.029812685022304e-05,0.0012401843541943,0.001319751549354425,44.880926497257114,0.23684853394526462,44.41671190093329,45.34514109358094,,,,,0.026707697858735575,,0.026707697858735575,0.021327732207766945,0.0008277889087836402,0.01970526594655101,0.02295019846898288,0.011514738929379698,-0.0012411560938172632,0.043896620509351156,,,,,,0.2689893726222306,0.9995704048852934,3.141750270634814e-05,0.00041075690794792433,2.33240685089496e-06,3.747684020364097e-05,0.0012065133449752263,0.0013534225585734988,0.00041246302983247943,0.21206100202588168,10.592459270563825,0.035013567292620916,0.31983284150755537,44.25405412790231,45.50779886661192,10.597286749213703,,,,,,,,0.10161502435130254,2.727569171568048,0.012315976285433848,0.10235866570925578,7.5104122270678655,7.911658196648148,2.729489124751038,0.0012799945117062603,44.881199025029986,0.021586928590595647,0.2689894272508214,0.9995704047108019,0.898058969790684
