tracer_name,tracer_label,sample_id,run_display,selection_mode,roi_folder,roi_prefix,dx_mm,metric_key,metric_label,window_name,window_min_time_min,window_max_time_min,n_points,center_mean,center_std,fixed_std_mean,combined_std_mean,fixed_ci_width_mean,combined_ci_width_mean
GAD,GAD,GAD_03,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_3,analysis_config,GAD,GAD,0.166,mean_concentration,Mean concentration (mg/mL),post_5min,5.0,,61,12.296376231605318,1.6872649370238781,0.14960124850056156,1.9708384666250154,0.5864368941222019,7.7256867891700605
GAD,GAD,GAD_03,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_3,analysis_config,GAD,GAD,0.166,mean_diffusive_flux_magnitude,Mean $|J_{diff}|$,post_5min,5.0,,61,0.009843118113490628,0.0015332078804148532,,,,
GAD,GAD,GAD_03,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_3,analysis_config,GAD,GAD,0.166,profile_fit_r2,Profile-fit $R^2$,post_5min,5.0,,61,0.9978125229555936,0.0006369029783708253,,,,
GAD,GAD,GAD_03,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_3,analysis_config,GAD,GAD,0.166,profile_fit_rmse,Profile-fit RMSE (mg/mL),post_5min,5.0,,61,0.5535597451471009,0.08261809367544279,,,,
GAD,GAD,GAD_03,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\GAD_Run_3,analysis_config,GAD,GAD,0.166,regularized_effective_diffusivity,Temporally regularized effective diffusivity (mm$^2$/s),post_5min,5.0,,61,0.0008153489122367493,0.00012006020902260447,,,,
VIS320,VIS 320,VIS320_01,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_1,analysis_config,VIS_320,VIS_320,0.166,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),post_5min,5.0,,62,0.00040514579147300805,7.939238837318638e-05,1.3192300946032832e-05,8.489429510148397e-05,5.1713819708453226e-05,0.00033278563679786617
VIS320,VIS 320,VIS320_01,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_1,analysis_config,VIS_320,VIS_320,0.166,fitted_Cs,"Effective fitted boundary concentration, C$_s$ (mg/mL)",post_5min,5.0,,62,51.35669446384017,1.7406216715646172,0.5811475168889587,8.206067979774476,2.278098266204717,32.16778648071595
VIS320,VIS 320,VIS320_01,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_1,analysis_config,VIS_320,VIS_320,0.166,mean_concentration,Mean concentration (mg/mL),post_5min,5.0,,62,12.492211049480511,1.8516529221104268,0.09186544357879489,2.822732370883542,0.3601125388288763,11.065110893863483
VIS320,VIS 320,VIS320_01,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_1,analysis_config,VIS_320,VIS_320,0.166,mean_diffusive_flux_magnitude,Mean $|J_{diff}|$,post_5min,5.0,,62,0.006950485198080756,0.001223466083360038,,,,
VIS320,VIS 320,VIS320_01,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_1,analysis_config,VIS_320,VIS_320,0.166,profile_fit_r2,Profile-fit $R^2$,post_5min,5.0,,62,0.9981407550207413,0.0005994449068109521,,,,
VIS320,VIS 320,VIS320_01,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_1,analysis_config,VIS_320,VIS_320,0.166,profile_fit_rmse,Profile-fit RMSE (mg/mL),post_5min,5.0,,62,0.6613343607954512,0.13187709465309816,,,,
VIS320,VIS 320,VIS320_01,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_1,analysis_config,VIS_320,VIS_320,0.166,regularized_effective_diffusivity,Temporally regularized effective diffusivity (mm$^2$/s),post_5min,5.0,,62,0.00040514581405630965,7.939285955325915e-05,,,,
