tracer_name,tracer_label,metric_key,metric_label,time_min,sample_count_total,sample_count_at_time,center_mean,between_sample_sd,between_sample_sem,fixed_std_mean,fixed_ci_low_mean,fixed_ci_high_mean,combined_std_mean,combined_ci_low_mean,combined_ci_high_mean
VIS320,VIS 320,mean_concentration,Mean concentration (mg/mL),0.0,3,3,5.572660649637374,1.0247287180707054,0.5916274012244619,0.0760729905252565,5.4235575882078715,5.721763711066877,2.3304372987825395,1.0050035440235972,10.140317755251152
VIS320,VIS 320,mean_concentration,Mean concentration (mg/mL),0.16666666666666652,3,3,5.698292145382198,0.9973275564419103,0.5758073331819686,0.07853600448552867,5.544361576590561,5.852222714173834,2.3499236564126003,1.092441778813502,10.304142511950895
VIS320,VIS 320,mean_concentration,Mean concentration (mg/mL),0.33333333333333304,3,3,5.927389722597741,1.0128046548607608,0.5847430401203663,0.0816230174444992,5.767408608406522,6.08737083678896,2.380918705535057,1.2607890597490294,10.593990385446453
VIS320,VIS 320,mean_concentration,Mean concentration (mg/mL),0.49999999999999956,3,3,6.023544534453862,0.9630274850619265,0.5560041777375115,0.06639076957112494,5.893418626094456,6.153670442813268,2.4038350994972415,1.3120277394392688,10.735061329468456
VIS320,VIS 320,mean_concentration,Mean concentration (mg/mL),0.6666666666666661,3,3,6.218301321919834,1.0121693306569504,0.5843762355202736,0.08222981686324428,6.057130880867874,6.379471762971792,2.4244544065388296,1.4663706851037268,10.970231958735939
VIS320,VIS 320,mean_concentration,Mean concentration (mg/mL),0.8333333333333326,3,3,6.352758743423821,0.9779878027973161,0.5646415212092011,0.06890476972956695,6.217705394753868,6.4878120920937725,2.444764971917988,1.5610193984645637,11.144498088383076
VIS320,VIS 320,mean_concentration,Mean concentration (mg/mL),0.9999999999999991,3,3,6.469423184809851,0.9646945667088518,0.556966667775125,0.09777701718790201,6.277780231121562,6.661066138498138,2.4613692626614925,1.6451394299933246,11.293706939626375
VIS320,VIS 320,mean_concentration,Mean concentration (mg/mL),1.1666666666666656,3,3,6.60833514265866,1.0204865728132742,0.5891781975181425,0.08534703741897835,6.441054949317462,6.775615335999858,2.490051540570688,1.7278341231401126,11.488836162177208
VIS320,VIS 320,mean_concentration,Mean concentration (mg/mL),1.3333333333333321,3,3,6.749535976931591,1.01378846765789,0.585311044703621,0.08303706876001014,6.586783322161971,6.9122886317012115,2.5076666637269023,1.8345093160268633,11.664562637836319
VIS320,VIS 320,mean_concentration,Mean concentration (mg/mL),1.4999999999999987,3,3,6.865582810046252,0.9892132696904772,0.5711225475417469,0.07849533568146337,6.711731952110584,7.019433667981921,2.5241057024163274,1.9183356333102513,11.812829986782255
VIS320,VIS 320,mean_concentration,Mean concentration (mg/mL),1.6666666666666652,3,3,6.992882134277374,1.017884450566585,0.5876758615385522,0.09062995792714901,6.815247416740163,7.170516851814586,2.547235150689725,2.000301238925514,11.985463029629235
VIS320,VIS 320,mean_concentration,Mean concentration (mg/mL),1.8333333333333317,3,3,7.026093158523782,0.9467843931815132,0.5466262242678832,0.09324589516256342,6.843331204005158,7.208855113042406,2.549604971662806,2.028867414064682,12.023318902982881
VIS320,VIS 320,mean_concentration,Mean concentration (mg/mL),1.9999999999999982,3,3,7.163984490344987,0.9613534966106,0.5550377000545179,0.0850580670935323,6.997270678841663,7.330698301848311,2.56571200383596,2.135188962826506,12.192780017863468
VIS320,VIS 320,mean_concentration,Mean concentration (mg/mL),2.1666666666666647,3,3,7.257183348081533,0.9336812490883034,0.539061120498438,0.08401023786641598,7.0925232818633575,7.421843414299707,2.5741144423519464,2.211919041071718,12.302447655091347
VIS320,VIS 320,mean_concentration,Mean concentration (mg/mL),2.3333333333333313,3,3,7.350382205818076,0.9086171853742487,0.5245903765661426,0.08296240863929973,7.187775884885049,7.512988526751104,2.582516880867933,2.288649119316929,12.412115292319223
VIS320,VIS 320,mean_concentration,Mean concentration (mg/mL),2.499999999999998,3,3,7.438317215883032,0.9230477081481716,0.5329218427742141,0.07830805872813557,7.284833420775886,7.591801010990178,2.589894231012013,2.3621245230994865,12.514509908666577
VIS320,VIS 320,mean_concentration,Mean concentration (mg/mL),2.6666666666666643,3,3,7.559402263648818,0.9558654047133318,0.5518691487202927,0.07958432969225156,7.403416977452006,7.715387549845633,2.5971856236230395,2.46891844134766,12.649886085949978
