0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,0.0016410066231155344,0.00034847482353894866,9.314429815184524e-05,2.7683648179002217e-05,2.1569482647744853e-05,2.7078743147962263e-05,3.298846809662166e-05,3.826686602197812e-05,4.3829546739354606e-05,5.154058710866398e-05,6.589310856883406e-05,0.00010602658256906264,0.0007592270426652255,9.693507935422053e-05,3.689840870239796e-05,1.0218611626929541e-05,2.851213927269016e-05
,0.0013533675997964697,0.00031506705002182233,1.1090692604694778e-05,0.0001532424732623163,0.0001961633339424111,0.00020242936683306234,0.00020013121290387296,0.00019745153921358,0.00019773142426070492,0.00020407442207096672,0.0002222354495843352,,,,0.00032651756965420637,0.00014633159090132717,8.403185973648912e-05
,0.0014193318021756029,8.237250279352345e-05,,,,,,,,,,,,,,,
,0.001065018724593663,0.00031905146497820605,6.420403988905565e-05,5.3253237392277995e-05,9.277209033396585e-05,0.00010462017187364937,0.00011071675319441167,0.00011753404377372013,0.00012817902129753196,0.0001463812230571161,0.00018030791882083782,0.00025636458172096884,0.0005416291834277922,0.0014646025335393366,0.0002640075233098923,0.00017510492201115678,0.00017822242300789197
,,0.0008371541067679019,0.00032593937494639226,0.00012248958754881511,4.910153456457338e-05,2.633376336907346e-05,1.763120243995157e-05,1.2873828456989503e-05,9.553356178027832e-06,7.076379683828975e-06,5.355056202930722e-06,4.499132031702444e-06,4.965902146017142e-06,9.209319133579475e-06,0.00048065578561269965,7.774649973429405e-06,3.644553715795916e-05
,0.0007410380188897159,1.7287156714220487e-05,,,,,,,,,,,,,,,
,0.0003511972668499578,6.997270784358531e-05,0.0002117106462499767,0.0002795172861865618,0.00030071373836493704,0.0003049108407175116,,,,,,,,,0.0017389787089000536,0.0006481272435376777,0.0003887285691281661
,,0.0009352507993947133,0.0003171214813017907,0.00013394825859077005,8.612492642379857e-05,8.109397460118191e-05,8.507407120072478e-05,9.055308726877802e-05,9.686068321321637e-05,0.00010519143510679322,0.00011805020875366377,0.00014087525687032123,0.00018967177992948643,0.00034761468784973626,,,9.637399185833974e-05
,0.0020820974518706713,0.0005032065563701177,0.0002408470875384355,,,,,,,,,,,,,,
0.0006265192364201674,0.00016454466932557164,4.198901296494787e-05,1.5248353672431211e-05,7.989737349628882e-06,6.757246198702787e-06,7.0922035760966455e-06,7.63030849275302e-06,8.13421675944751e-06,8.620675931223487e-06,9.164404490970931e-06,9.872725084538733e-06,1.0914015893182994e-05,1.261237252145875e-05,1.5762627873714462e-05,2.3130714625682984e-05,4.801089469887355e-05,0.0001501640939506333
,,0.00011943976732414013,8.952776186324586e-05,5.692774469947753e-05,3.8231905306808455e-05,2.8875044065123448e-05,2.313851102955358e-05,1.880231524280988e-05,1.5088903151579364e-05,1.1679110692782319e-05,8.3905303667464e-06,5.0493729550358385e-06,1.3916779775400068e-06,3.1276977691484844e-06,9.99734376332114e-06,3.767941704228896e-05,
