region,depth_start_index,depth_end_index_inclusive,n_depth_rows,depth_start_mm,depth_end_mm,mean_fitted_concentration,median_fitted_concentration,max_fitted_concentration,mean_ci_width,median_ci_width,max_ci_width,mean_std,median_std,max_std,mean_relative_ci_width_percent,median_relative_ci_width_percent,max_relative_ci_width_percent,mean_relative_std_percent,median_relative_std_percent,max_relative_std_percent
shallow,0,5,6,0.0,0.8300000000000001,25.674196327968662,25.81472717337392,41.00423088618758,1.8245198378386367,1.734696421173421,4.733171767392747,4.482318199476056,4.239586329452322,8.54258258400723,8.747188327595003,6.453789466735816,54.93482412559741,20.146872718899168,17.284841105066093,60.59375247138357
mid,6,11,6,0.996,1.826,6.686076341242973,5.952638392446287,18.9378931318031,1.1092627098587273,1.0593120914569418,2.329333264639875,1.8514114082799056,1.9223006532238185,3.171620855960174,37.469735928365125,21.50414856993754,239.19256406424486,46.130645261698845,32.65094826511632,242.47295078971598
deep,12,17,6,1.992,2.822,1.1336296641735233,0.6177404320616698,5.868450739330587,0.3537949942850247,0.33636970918928566,1.0632018792534232,0.4748421926502484,0.39733330763621755,1.4867244011641298,100.68732435879468,58.42928077042998,556.3723813931863,126.34863097400846,65.13295242772821,1395.5110538915244
overall,0,17,18,0.0,2.822,11.164634111128386,5.8486125602353995,41.00423088618758,1.0958591806607965,0.9765524017786478,4.733171767392747,2.2695239334687365,1.8907120919007596,8.54258258400723,48.96808287158495,20.31825866690657,556.3723813931863,64.20871631820215,33.08704285741992,1395.5110538915244
