0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,0.004126205299857205,0.00039896217787087893,0.0007353014547664717,0.0012526425114621847,0.0016021408671091923,,,,0.0030668794776718,0.0011017537320331362,0.0005640961113778085,0.00032467329721627605,0.00019440148562442465,0.00011522770086226631,6.387124260916525e-05,4.4576029832283075e-05,5.1909844637926814e-05
0.006211740469728808,0.002800510787329324,0.0011220649679607663,0.0004807548594571191,0.00010980892647908993,0.00016319962195351055,0.0004096836489465964,0.000713999507238873,,,0.0017799425290276757,0.0007173961736384155,0.00040964972101335405,0.0002640641403433753,0.00018020871944395207,0.00012649799976786934,0.00010635066306022495,8.640486454915828e-05
,0.003804942605616786,,,,,,,,,,,,,,,,
0.0024438973976849067,0.0017580389971083503,0.0010712024759028072,0.0008281836005977334,0.0007475771658529689,0.0007676250818669846,0.0009056995824799862,0.001294153476202441,0.002852150894628705,,,0.0008891693960749537,0.0006196017245337128,0.0004802093644308207,0.00039555412845820306,0.0003383229666000418,0.00030569123849766375,0.00019140859990734614
,,0.003181762047741148,0.0016628263360360881,0.0008479396135046937,0.00028427284767602043,0.0001770194728991526,0.000629140297828343,0.0012143987752556576,,,0.004027315649400809,0.0016408826836475468,0.0009719446281131066,0.0006531164755300845,0.0004660602245529521,0.00040781121858129727,0.00034880956788069467
,4.689258036377959e-05,,,,,,,,,,,,,,,,
0.0005970413852775915,0.0003863889478181201,0.00030883832653702103,0.00032154504400532284,0.0003515953789519987,0.00039675050859519246,0.00046356031896775386,0.000580975293138333,,,0.0015198917096388778,0.00047370856341575447,0.00024256293650527663,0.00014463158252016632,9.250641583422904e-05,6.132787403560693e-05,5.535045909122317e-05,6.165526988736363e-05
,0.004815359058347613,0.0012282179460405061,0.00010961245021647156,0.000387602799149083,0.0006620311741432061,0.0008559263102635786,0.0010623317226447675,0.0014200421157282608,,,0.0018980470222268327,0.0008406473102192517,0.0004996666763981974,0.00033586600240076664,0.00024127955860137377,0.00022303387016875008,0.00021629958120361636
,0.0005067185412357495,0.0007049263270895641,0.0009553097118709073,,,,,,,,0.0012931371285839878,0.000524304456989254,0.00029704558383205856,0.0001924742184002721,0.00013359531079746868,0.00011070268723324362,8.514037657560298e-05
,,0.0001665709803934016,2.8558635962769e-06,7.857740852594695e-05,0.0001201734201978685,,,,,0.0019732577029670214,0.0002743258466037695,0.00013468173082838158,8.440016732321222e-05,5.8888293246229866e-05,4.347354350714846e-05,3.940821494665444e-05,3.551195338426396e-05
,,,0.0007268681871183929,0.000490708553066752,0.0003582884113143835,0.00027783907825933575,0.000228504177696631,0.0002035595342052322,0.00021717103889601689,0.0011387788070074609,1.914739265565003e-05,2.4651073679285212e-05,3.189629729821958e-05,3.193407597803079e-05,2.9795173845909072e-05,4.0108728415391335e-05,5.864634479188545e-05
