time_plot,time_seconds,global_smooth_Cs,global_profile_fit_rmse,global_profile_fit_r2,global_effective_diffusivity_mm2_s,global_fitted_velocity_mm_s,global_mean_diffusive_flux_magnitude,global_diffusion_curve,global_convection_curve,global_total_curve
0.0,0.0,47.42972185407101,,,0.0004584988555657009,0.0,,,,
0.16666666666666666,10.0,47.70498299184428,8.482249654360249,0.4636776298407971,0.0004584988555657009,0.0,0.01067644914964057,0.049637017405773816,,0.049637017405773816
0.3333333333333333,20.0,47.982135123691386,7.637303606886971,0.5807169060881792,0.0004584988555657009,0.0,0.010233105836927336,0.04094408708587087,,0.04094408708587087
0.5,30.0,48.259744433377705,6.909737513292428,0.6711799043159783,0.0004584988555657009,0.0,0.009934559874972283,0.0350623797316427,,0.0350623797316427
0.6666666666666666,40.0,48.53637710466863,6.450956365577644,0.7208426098021641,0.0004584988555657009,0.0,0.009733913931382,0.031030792907752316,,0.031030792907752316
0.8333333333333334,50.0,48.810599321329526,5.914362980407485,0.7652474700901382,0.0004584988555657009,0.0,0.009593738805901248,0.02810777040388878,,0.02810777040388878
1.0,60.0,49.08097726712579,5.597609820299584,0.7975899005911541,0.0004584988555657009,0.0,0.0094927249430282,0.025885012414169094,,0.025885012414169094
1.1666666666666667,70.0,49.34607712582281,5.383280690231536,0.8175835740150785,0.0004584988555657009,0.0,0.009418281734280371,0.024130391952063516,,0.024130391952063516
1.3333333333333333,80.0,49.60446508118595,4.974462521657346,0.8487473692788998,0.0004584988555657009,0.0,0.009362502519479586,0.022703914084223384,,0.022703914084223384
1.5,90.0,49.85470731698061,4.692377936646976,0.8661532872718134,0.0004584988555657009,0.0,0.009320136196306705,0.021516413654681196,,0.021516413654681196
1.6666666666666667,100.0,50.095370016972154,4.446451511206575,0.8837278845585395,0.0004584988555657009,0.0,0.009287522924052334,0.020508405584787174,,0.020508405584787174
1.8333333333333333,110.0,50.325019364925986,4.143620415129534,0.898058969790684,0.0004584988555657009,0.0,0.00926200381619937,0.019638633097793897,,0.019638633097793897
2.0,120.0,50.542221544607465,3.9833926416902283,0.907690055448111,0.0004584988555657009,0.0,0.009241576187878383,0.018877530758333826,,0.018877530758333826
2.3333333333333335,140.0,50.93354913421495,3.6377529979703755,0.9251957535511124,0.0004584988555657009,0.0,0.009210078641052291,0.017599548253567333,,0.017599548253567333
2.6666666666666665,160.0,51.257882255917664,3.3669788881573655,0.9369792937697955,0.0004584988555657009,0.0,0.00918381535904542,0.016555449338258386,,0.016555449338258386
3.0,180.0,51.503750379838664,3.0240538610606706,0.9506860953651506,0.0004584988555657009,0.0,0.009156351041472832,0.015672646711239566,,0.015672646711239566
3.3333333333333335,200.0,51.659682976101024,2.8132721343118683,0.958161812724826,0.0004584988555657009,0.0,0.009122817456394114,0.01490400070221332,,0.01490400070221332
3.6666666666666665,220.0,51.7142095148278,2.5196964452623787,0.9668733792626671,0.0004584988555657009,0.0,0.00907928987633351,0.014217334881733847,,0.014217334881733847
4.0,240.0,51.706736820135546,2.326199982233737,0.9725597276406869,0.0004584988555657009,0.0,0.00903132861338909,0.013603160276527942,,0.013603160276527942
4.333333333333333,260.0,51.685479920648326,2.1788876066434493,0.9764999579067319,0.0004584988555657009,0.0,0.008986258865069957,0.013058140732537419,,0.013058140732537419
4.666666666666667,280.0,51.65218059325049,1.984354570171568,0.9806908243558123,0.0004584988555657009,0.0,0.008943485660729776,0.012569849753538025,,0.012569849753538025
5.0,300.0,51.60858061482636,1.8121713247109952,0.9841163365563058,0.0004584988555657009,0.0,0.008902615947626044,0.012128861100471186,,0.012128861100471186
5.333333333333333,320.0,51.55642176226026,1.549157692836349,0.9885565588494412,0.0004584988555657009,0.0,0.008863402454757158,0.011727889397010846,,0.011727889397010846
5.666666666666667,340.0,51.497445812436524,1.4059263430053865,0.9908915232602828,0.0004584988555657009,0.0,0.00882570544401603,0.01136121202644637,,0.01136121202644637
6.0,360.0,51.43339454223948,1.3217498791742548,0.9920797080785438,0.0004584988555657009,0.0,0.008789465973938556,0.011024269891600236,,0.011024269891600236
6.333333333333333,380.0,51.36600972855347,1.2510699768921107,0.9927872668526229,0.0004584988555657009,0.0,0.00875468678605616,0.010713385338376338,,0.010713385338376338
6.666666666666667,400.0,51.29703314826283,1.1453725698062245,0.9941330906062636,0.0004584988555657009,0.0,0.00872141836801702,0.010425558853223172,,0.010425558853223172
7.0,420.0,51.22820657825186,0.9811189980573135,0.9957220879510962,0.0004584988555657009,0.0,0.008689748614257503,0.010158319949072854,,0.010158319949072854
7.333333333333333,440.0,51.16127179540492,0.8298802737050199,0.9969910748108801,0.0004584988555657009,0.0,0.00865979503958399,0.00990961608330267,,0.00990961608330267
7.666666666666667,460.0,51.09797057660633,0.7106277898733817,0.9977939317363209,0.0004584988555657009,0.0,0.0086316988388816,0.00967772874284712,,0.00967772874284712
8.0,480.0,51.04004469874042,0.7179895389588288,0.9977861678907464,0.0004584988555657009,0.0,0.008605620304453344,0.009461209238781638,,0.009461209238781638
8.333333333333334,500.0,50.989235938691515,0.568853143316457,0.9986352529147002,0.0004584988555657009,0.0,0.008581735256486592,0.009258828997863948,,0.009258828997863948
8.666666666666666,520.0,50.94728607334396,0.5340357584557754,0.9987874097411188,0.0004584988555657009,0.0,0.008560232239065655,0.00906954064930721,,0.00906954064930721
9.0,540.0,50.91593687958208,0.4338646181042431,0.9992091902555605,0.0004584988555657009,0.0,0.008541310300700253,0.008892447240989133,,0.008892447240989133
9.333333333333334,560.0,50.89158795244109,0.4036214746609139,0.999326801024244,0.0004584988555657009,0.0,0.008524282415632804,0.0087258616721441,,0.0087258616721441
9.666666666666666,580.0,50.86931871384151,0.4071659259761003,0.9993157802215401,0.0004584988555657009,0.0,0.008508253230916592,0.008568045148629591,,0.008568045148629591
10.0,600.0,50.84889068099556,0.4495955512561595,0.9991796057644082,0.0004584988555657009,0.0,0.008493121369326326,0.00841819581762263,,0.00841819581762263
10.333333333333334,620.0,50.83006537111547,0.4600006150681509,0.9991413036948962,0.0004584988555657009,0.0,0.008478791705031347,0.008275600640586307,,0.008275600640586307
10.666666666666666,640.0,50.81260430141348,0.39221208521250117,0.9993734104965984,0.0004584988555657009,0.0,0.008465174520854768,0.008139623275602803,,0.008139623275602803
11.0,660.0,50.79626898910183,0.4956320388612756,0.9990236911800636,0.0004584988555657009,0.0,0.00845218481641342,0.00800969396406772,,0.00800969396406772
11.333333333333334,680.0,50.78082095139276,0.4908519392247283,0.9990503173477737,0.0004584988555657009,0.0,0.008439741736779634,0.007885301030103658,,0.007885301030103658
11.666666666666666,700.0,50.766021705498495,0.6233253349412212,0.998469095303567,0.0004584988555657009,0.0,0.008427768097740556,0.007765983687905379,,0.007765983687905379
12.0,720.0,50.751632768631296,0.606654553739197,0.9985610335789715,0.0004584988555657009,0.0,0.008416189988736271,0.007651325918016851,,0.007651325918016851
12.333333333333334,740.0,50.737415658003364,0.6005713961789543,0.9985995224640237,0.0004584988555657009,0.0,0.00840493643847445,0.007540951223719837,,0.007540951223719837
12.666666666666666,760.0,50.72313189082695,0.7105691679099113,0.9980155494475285,0.0004584988555657009,0.0,0.008393939131297814,0.007434518117249051,,0.007434518117249051
13.0,780.0,50.70854298431429,0.705114479965241,0.9980687593098365,0.0004584988555657009,0.0,0.008383132164808878,0.0073317162153393855,,0.0073317162153393855
13.333333333333334,800.0,50.69341045567763,0.8282899330948353,0.9973915824184594,0.0004584988555657009,0.0,0.008372451841176987,0.007232262846794727,,0.007232262846794727
13.666666666666666,820.0,50.677495822129195,0.758571495610744,0.9977862483830497,0.0004584988555657009,0.0,0.008361836486074482,0.007135900092929322,,0.007135900092929322
14.0,840.0,50.660560600881226,0.9011496010222831,0.9968995559469561,0.0004584988555657009,0.0,0.008351226290396616,0.007042392196055415,,0.007042392196055415
14.333333333333334,860.0,50.64236630914595,0.9569641343326776,0.9964978449840608,0.0004584988555657009,0.0,0.008340563170879313,0.0069515232825608925,,0.0069515232825608925
14.666666666666666,880.0,50.62212734432532,0.9429386597198187,0.9966278388229067,0.0004584988555657009,0.0,0.008329700619769027,0.00686302118123654,,0.00686302118123654
15.0,900.0,50.59953607535146,0.9380637825993393,0.9966407521398779,0.0004584988555657009,0.0,0.008318572520322922,0.006776697439624245,,0.006776697439624245
15.333333333333334,920.0,50.57507097673183,1.040567887626652,0.9959137336750349,0.0004584988555657009,0.0,0.008307243304343995,0.006692482455638133,,0.006692482455638133
15.666666666666666,940.0,50.549210522973915,1.2373293100699396,0.9943433605946038,0.0004584988555657009,0.0,0.008295778291690818,0.006610315144434753,,0.006610315144434753
16.0,960.0,50.52243318858521,1.183356962021873,0.9947465710218181,0.0004584988555657009,0.0,0.008284243620870739,0.006530141998238613,,0.006530141998238613
16.333333333333332,980.0,50.495217448073184,1.2096882129588935,0.9946027898916917,0.0004584988555657009,0.0,0.008272706183250413,0.006451916247847272,,0.006451916247847272
16.666666666666668,1000.0,50.468041775945316,1.3642830158166874,0.9931910743823094,0.0004584988555657009,0.0,0.00826123356046515,0.006375597114022423,,0.006375597114022423
17.0,1020.0,50.441384646709075,1.2575622802219393,0.9941450747800693,0.0004584988555657009,0.0,0.00824989396471301,0.006301149138552836,,0.006301149138552836
17.333333333333332,1040.0,50.415724534871956,1.4167953834512477,0.9926317941396904,0.0004584988555657009,0.0,0.008238756181698169,0.006228541586099391,,0.006228541586099391
17.666666666666668,1060.0,50.39153991494143,1.3141791389277258,0.9936534323655773,0.0004584988555657009,0.0,0.008227889516046747,0.006157747909050919,,0.006157747909050919
18.0,1080.0,50.36930926142499,1.418030792005881,0.9926739563258691,0.0004584988555657009,0.0,0.008217363739061468,0.006088745268570148,,0.006088745268570148
18.333333333333332,1100.0,50.3495110488301,1.4973617562043842,0.9917976453385274,0.0004584988555657009,0.0,0.008207249038712679,0.006021514105822889,,0.006021514105822889
18.666666666666668,1120.0,50.33262375166425,1.4472911373638855,0.9924072036598252,0.0004584988555657009,0.0,0.008197615971785229,0.0059560377580823755,,0.0059560377580823755
19.0,1140.0,50.31912584443491,1.5588478161329626,0.9911379415833668,0.0004584988555657009,0.0,0.008188535418115964,0.005892302115006753,,0.005892302115006753
19.333333333333332,1160.0,50.30949580164957,1.4782207321449294,0.9920402187058289,0.0004584988555657009,0.0,0.008180078536866394,0.005830295310913052,,0.005830295310913052
19.666666666666668,1180.0,50.30421209781571,1.630654231337802,0.9905045356064548,0.0004584988555657009,0.0,0.008172316724781288,0.005770007449330577,,0.005770007449330577
20.0,1200.0,50.30133337542372,1.6140106211188654,0.9905727897080777,0.0004584988555657009,0.0,0.008164928788467606,0.005711155611571546,,0.005711155611571546
20.333333333333332,1220.0,50.298602754763444,1.7072337517448788,0.9895686892112229,0.0004584988555657009,0.0,0.008157543858128799,0.005653433965452219,,0.005653433965452219
20.666666666666668,1240.0,50.2960254270416,1.6873257972958238,0.9897590664513186,0.0004584988555657009,0.0,0.008150159265172716,0.005596801649936462,,0.005596801649936462
21.0,1260.0,50.293606583464836,1.7370264687606323,0.9891993779092719,0.0004584988555657009,0.0,0.008142772711887758,0.005541220390246408,,0.005541220390246408
21.333333333333332,1280.0,50.29135141523984,1.7300686866608703,0.9892542461302479,0.0004584988555657009,0.0,0.008135382244595401,0.0054866542833600165,,0.0054866542833600165
21.666666666666668,1300.0,50.28926511357328,1.827148430228688,0.9882886653753523,0.0004584988555657009,0.0,0.008127986228481376,0.005433069603503435,,0.005433069603503435
